scientific_name	phase	reason_code	detail	reproducible_command
Abatus agassizi	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Abatus agassizi'
Allolobophora chlorotica	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Allolobophora chlorotica'
Aquila clanga/pomarina	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Aquila clanga/pomarina'
Artemia salina	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Artemia salina'
Bactrocera depressa	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Bactrocera depressa'
Bostrycapulus aculeatus	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Bostrycapulus aculeatus'
Camponotus aethiops	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Camponotus aethiops'
Camponotus ligniperdus	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Camponotus ligniperdus'
Canis latrans/lupus	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Canis latrans/lupus'
Chelonoidis nigra	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Chelonoidis nigra'
Cichla pleiozona	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Cichla pleiozona'
Crepidula fornicata	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Crepidula fornicata'
Crepidula plana	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Crepidula plana'
Culex hortensis	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Culex hortensis'
Culex torrentium	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Culex torrentium'
Cystodytes dellechiajei	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Cystodytes dellechiajei'
Echinocardium mediterraneum	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Echinocardium mediterraneum'
Gorilla beringei/gorilla	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Gorilla beringei/gorilla'
Gryllus firmus	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Gryllus firmus'
Gryllus pennsylvanicus	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Gryllus pennsylvanicus'
Halictus scabiosae	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Halictus scabiosae'
Hylobates agilis/lar/moloch/pileatus	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Hylobates agilis/lar/moloch/pileatus'
Ixodes ricinus	staging	no_valid_nuclear_genome_assembly	_StagingMissingness: retained nuclear reference has 1819390 bases; minimum is 10000000	python3 analysis/tier3c_batch.py stage-one /moosefs/erikg/tier3data/composition-20260713/discovery.json 78 /moosefs/erikg/tier3scratch/composition-20260713/staged /moosefs/erikg/lewontin-paradox/.wg-worktrees/agent-38/analysis/pilot_results/guix_environment.json
Lepus granatensis	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Lepus granatensis'
Liocarcinus depurator	staging	no_valid_nuclear_genome_assembly	_StagingMissingness: nuclear FASTA filtering retained no sequences	python3 analysis/tier3c_batch.py stage-one /moosefs/erikg/tier3data/composition-20260713/discovery.json 84 /moosefs/erikg/tier3scratch/composition-20260713/staged /moosefs/erikg/lewontin-paradox/.wg-worktrees/agent-38/analysis/pilot_results/guix_environment.json
Lutzomyia whitmani	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Lutzomyia whitmani'
Lynx lynx	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Lynx lynx'
Melanoplus oregonensis	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Melanoplus oregonensis'
Mesobuthus cyprius/gibbosus	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Mesobuthus cyprius/gibbosus'
Necora puber	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Necora puber'
Nomascus gabriellae/leucogenys	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Nomascus gabriellae/leucogenys'
Ostrea chilensis	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Ostrea chilensis'
Ostreola stentina	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Ostreola stentina'
Pectinaria koreni	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Pectinaria koreni'
Physa gyrina	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Physa gyrina'
Pongo abelii/pygmaeus	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Pongo abelii/pygmaeus'
Tripylus abatoides	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Tripylus abatoides'
Varecia variegata variegata	discovery	missing_exact_same_species_ncbi_assembly		python3 analysis/tier3c_ncbi_gc.py discover 'Varecia variegata variegata'
