dataset_id	purpose	slurm_job_id	slurm_array_job_id	slurm_array_task_id	requested_cpus	requested_memory	time_limit	max_rss_kib	max_rss_source	sacct_max_rss	elapsed	elapsed_seconds	state	exit_code	node
acyrthosiphon.pisum.tier3c	frozen_primary_analysis	1755135		0	2	12G	01:00:00	1553492	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:01:51	111	COMPLETED	0:0	octopus09
aedes.aegypti.tier3c	frozen_primary_analysis	1755136		1	2	12G	01:00:00	3671568	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:03:56	236	COMPLETED	0:0	octopus09
agelaius.phoeniceus.tier3c	frozen_primary_analysis	1755137		2	2	12G	01:00:00	3551504	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:04:15	255	COMPLETED	0:0	octopus09
ailuropoda.melanoleuca.tier3c	frozen_primary_analysis	1755138		3	2	12G	01:00:00	6996800	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:07:57	477	COMPLETED	0:0	octopus09
amphimedon.queenslandica.tier3c	frozen_primary_analysis	1755139		4	2	12G	01:00:00	501280	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:46	46	COMPLETED	0:0	octopus09
anopheles.arabiensis.tier3c	frozen_primary_analysis	1755140		5	2	12G	01:00:00	758976	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:01:09	69	COMPLETED	0:0	octopus09
anopheles.gambiae.tier3c	frozen_primary_analysis	1755141		6	2	12G	01:00:00	780816	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:01:17	77	COMPLETED	0:0	octopus09
anopheles.merus.tier3c	frozen_primary_analysis	1755142		7	2	12G	01:00:00	866436	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:01:18	78	COMPLETED	0:0	octopus09
anopheles.quadriannulatus.tier3c	frozen_primary_analysis	1755152		8	2	12G	01:00:00	838020	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:48	48	COMPLETED	0:0	octopus09
apis.cerana.tier3c	frozen_primary_analysis	1755157		9	2	12G	01:00:00	662732	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:01:10	70	COMPLETED	0:0	octopus09
apis.mellifera.tier3c	frozen_primary_analysis	1755159		10	2	12G	01:00:00	669164	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:01:03	63	COMPLETED	0:0	octopus09
aporrectodea.icterica.tier3c	frozen_primary_analysis	1755160		11	2	12G	01:00:00	3208180	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:03:04	184	COMPLETED	0:0	octopus09
aptenodytes.patagonicus.tier3c	frozen_primary_analysis	1755165		12	2	12G	01:00:00	3877488	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:04:24	264	COMPLETED	0:0	octopus09
armadillidium.nasatum.tier3c	frozen_primary_analysis	1755167		13	2	12G	01:00:00	3526840	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:03:37	217	COMPLETED	0:0	octopus09
armadillidium.vulgare.tier3c	frozen_primary_analysis	1755169		14	2	12G	01:00:00	5883064	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:06:00	360	COMPLETED	0:0	octopus09
artemia.franciscana.tier3c	frozen_primary_analysis	1755170		15	2	12G	01:00:00	3647180	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:04:00	240	COMPLETED	0:0	octopus09
balaenoptera.bonaerensis.tier3c	frozen_primary_analysis	1755172		16	2	12G	01:00:00	6564948	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:06:15	375	COMPLETED	0:0	octopus09
bombyx.mandarina.tier3c	frozen_primary_analysis	1755173		17	2	12G	01:00:00	1163780	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:01:25	85	COMPLETED	0:0	octopus09
bos.taurus.tier3c	frozen_primary_analysis	1755175		18	2	12G	01:00:00	7910400	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:09:12	552	COMPLETED	0:0	octopus09
caenorhabditis.elegans.tier3c	frozen_primary_analysis	1755179		19	2	12G	01:00:00	313708	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:39	39	COMPLETED	0:0	octopus09
callithrix.jacchus.tier3c	frozen_primary_analysis	1755181		20	2	12G	01:00:00	8374084	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:10:24	624	COMPLETED	0:0	octopus09
canis.lupus.tier3c	frozen_primary_analysis	1755184		21	2	12G	01:00:00	7127196	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:08:48	528	COMPLETED	0:0	octopus09
carcinus.aestuarii.tier3c	frozen_primary_analysis	1755186		22	2	12G	01:00:00	3202520	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:03:11	191	COMPLETED	0:0	octopus09
cecidostiba.fungosa.tier3c	frozen_primary_analysis	1755187		23	2	12G	01:00:00	562664	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:34	34	COMPLETED	0:0	octopus09
ceratitis.capitata.tier3c	frozen_primary_analysis	1755191		24	2	12G	01:00:00	1271940	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:01:37	97	COMPLETED	0:0	octopus09
chlorocebus.aethiops.tier3c	frozen_primary_analysis	1755193		25	2	12G	01:00:00	8063692	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:08:05	485	COMPLETED	0:0	octopus09
ciona.intestinalis.tier3c	frozen_primary_analysis	1755194		26	2	12G	01:00:00	427316	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:42	42	COMPLETED	0:0	octopus09
ciona.savignyi.tier3c	frozen_primary_analysis	1755195		27	2	12G	01:00:00	599128	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:36	36	COMPLETED	0:0	octopus09
crassostrea.gigas.tier3c	frozen_primary_analysis	1755196		28	2	12G	01:00:00	1632760	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:02:29	149	COMPLETED	0:0	octopus09
culex.pipiens.tier3c	frozen_primary_analysis	1755197		29	2	12G	01:00:00	1639512	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:01:55	115	COMPLETED	0:0	octopus09
cynoglossus.semilaevis.tier3c	frozen_primary_analysis	1755198		30	2	12G	01:00:00	1377148	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:01:58	118	COMPLETED	0:0	octopus09
danio.rerio.tier3c	frozen_primary_analysis	1755199		31	2	12G	01:00:00	4154012	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:06:03	363	COMPLETED	0:0	octopus09
daphnia.magna.tier3c	frozen_primary_analysis	1755201		32	2	12G	01:00:00	487812	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:50	50	COMPLETED	0:0	octopus09
daphnia.obtusa.tier3c	frozen_primary_analysis	1755203		33	2	12G	01:00:00	396400	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:24	24	COMPLETED	0:0	octopus09
daphnia.pulex.tier3c	frozen_primary_analysis	1755204		34	2	12G	01:00:00	407436	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:51	51	COMPLETED	0:0	octopus09
daphnia.pulicaria.tier3c	frozen_primary_analysis	1755207		35	2	12G	01:00:00	554984	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:58	58	COMPLETED	0:0	octopus09
dasypus.novemcinctus.tier3c	frozen_primary_analysis	1755209		36	2	12G	01:00:00	10300284	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:10:59	659	COMPLETED	0:0	octopus09
daubentonia.madagascariensis.tier3c	frozen_primary_analysis	1755211		37	2	12G	01:00:00	6974696	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:07:39	459	COMPLETED	0:0	octopus09
drosophila.americana.tier3c	frozen_primary_analysis	1755213		38	2	12G	01:00:00	550832	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:33	33	COMPLETED	0:0	octopus09
drosophila.ananassae.tier3c	frozen_primary_analysis	1755216		39	2	12G	01:00:00	637036	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:01:01	61	COMPLETED	0:0	octopus09
drosophila.arizonae.tier3c	frozen_primary_analysis	1755218		40	2	12G	01:00:00	431732	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:41	41	COMPLETED	0:0	octopus09
drosophila.bipectinata.tier3c	frozen_primary_analysis	1755219		41	2	12G	01:00:00	574472	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:55	55	COMPLETED	0:0	octopus09
drosophila.buzzatii.tier3c	frozen_primary_analysis	1755220		42	2	12G	01:00:00	532948	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:31	31	COMPLETED	0:0	octopus09
drosophila.kikkawai.tier3c	frozen_primary_analysis	1755222		43	2	12G	01:00:00	565184	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:54	54	COMPLETED	0:0	octopus09
drosophila.malerkotliana.tier3c	frozen_primary_analysis	1755224		44	2	12G	01:00:00	572804	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:34	34	COMPLETED	0:0	octopus09
drosophila.melanogaster.tier3c	frozen_primary_analysis	1755659		45	2	12G	01:00:00	437876	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:49	49	COMPLETED	0:0	octopus09
drosophila.miranda.tier3c	frozen_primary_analysis	1755227		46	2	12G	01:00:00	845768	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:01:17	77	COMPLETED	0:0	octopus09
drosophila.mojavensis.tier3c	frozen_primary_analysis	1755228		47	2	12G	01:00:00	492684	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:51	51	COMPLETED	0:0	octopus09
drosophila.novamexicana.tier3c	frozen_primary_analysis	1755229		48	2	12G	01:00:00	533048	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:48	48	COMPLETED	0:0	octopus09
drosophila.parabipectinata.tier3c	frozen_primary_analysis	1755230		49	2	12G	01:00:00	625692	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:38	38	COMPLETED	0:0	octopus09
drosophila.persimilis.tier3c	frozen_primary_analysis	1755231		50	2	12G	01:00:00	585056	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:51	51	COMPLETED	0:0	octopus09
drosophila.pseudoobscura.tier3c	frozen_primary_analysis	1755234		51	2	12G	01:00:00	492916	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:54	54	COMPLETED	0:0	octopus09
drosophila.sechellia.tier3c	frozen_primary_analysis	1755235		52	2	12G	01:00:00	464256	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:51	51	COMPLETED	0:0	octopus09
drosophila.simulans.tier3c	frozen_primary_analysis	1755237		53	2	12G	01:00:00	403072	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:47	47	COMPLETED	0:0	octopus09
drosophila.subobscura.tier3c	frozen_primary_analysis	1755238		54	2	12G	01:00:00	387468	process_getrusage;_sacct_blank_jobacct_gather_disabled		00:00:42	42	COMPLETED	0:0	octopus09
