run_id	selection_id	stage	execution_context	disposition	slurm_job_id	slurm_dependency_ids	cpus	elapsed_seconds	cpu_seconds	maximum_rss_kib	scratch_path	scratch_high_water_bytes	logical_read_bytes	filesystem_read_bytes	logical_write_bytes	filesystem_write_bytes	metadata_operations	retry_count	retry_reason	resource_estimator_error	command_status
vgp10-20260718-preflight-v1	P01	preflight_core_object_revalidation	pinned_guix_login_node	completed_preflight_then_refused	not_submitted	none	1	0.986510	0.978751	41712	none	0	1305978772	57344	0	0	30	0	none	not_applicable_no_cluster_job	core_CAS_verified;submission_refused_hard_gate
vgp10-20260718-preflight-v1	P02	preflight_core_object_revalidation	pinned_guix_login_node	completed_preflight_then_refused	not_submitted	none	1	1.129105	1.121800	41712	none	0	1508248042	98304	0	0	30	0	none	not_applicable_no_cluster_job	core_CAS_verified;submission_refused_hard_gate
vgp10-20260718-preflight-v1	P03	preflight_core_object_revalidation	pinned_guix_login_node	completed_preflight_then_refused	not_submitted	none	1	0.540931	0.532851	41712	none	0	713924659	139264	0	0	30	0	none	not_applicable_no_cluster_job	core_CAS_verified;submission_refused_hard_gate
vgp10-20260718-preflight-v1	P04	preflight_core_object_revalidation	pinned_guix_login_node	completed_preflight_then_refused	not_submitted	none	1	0.564572	0.558059	41712	none	0	746084470	180224	0	0	30	0	none	not_applicable_no_cluster_job	core_CAS_verified;submission_refused_hard_gate
vgp10-20260718-preflight-v1	P05	preflight_core_object_revalidation	pinned_guix_login_node	completed_preflight_then_refused	not_submitted	none	1	0.725792	0.718139	41712	none	0	966926341	221184	0	0	30	0	none	not_applicable_no_cluster_job	core_CAS_verified;submission_refused_hard_gate
vgp10-20260718-preflight-v1	P06	preflight_core_object_revalidation	pinned_guix_login_node	completed_preflight_then_refused	not_submitted	none	1	0.985088	0.977427	41712	none	0	1318433696	262144	0	0	30	0	none	not_applicable_no_cluster_job	core_CAS_verified;submission_refused_hard_gate
vgp10-20260718-preflight-v1	P07	preflight_core_object_revalidation	pinned_guix_login_node	completed_preflight_then_refused	not_submitted	none	1	0.190985	0.184125	41712	none	0	245609614	303104	0	0	30	0	none	not_applicable_no_cluster_job	core_CAS_verified;submission_refused_hard_gate
vgp10-20260718-preflight-v1	P08	preflight_core_object_revalidation	pinned_guix_login_node	completed_preflight_then_refused	not_submitted	none	1	0.259812	0.252801	41712	none	0	338847332	344064	0	0	30	0	none	not_applicable_no_cluster_job	core_CAS_verified;submission_refused_hard_gate
vgp10-20260718-preflight-v1	P09	preflight_core_object_revalidation	pinned_guix_login_node	completed_preflight_then_refused	not_submitted	none	1	2.187857	2.179109	41712	none	0	2948663352	385024	0	0	30	0	none	not_applicable_no_cluster_job	core_CAS_verified;submission_refused_hard_gate
vgp10-20260718-preflight-v1	P10	preflight_core_object_revalidation	pinned_guix_login_node	completed_preflight_then_refused	not_submitted	none	1	1.837375	1.829204	41712	none	0	2475044159	425984	0	0	30	0	none	not_applicable_no_cluster_job	core_CAS_verified;submission_refused_hard_gate
vgp10-20260718-preflight-v1	ALL	closed_world_adjudication	pinned_guix_login_node	completed	not_submitted	none	1	10.111913	9.402994	41712	none	0	12567760437	466944	20793	0	300	0	none	not_applicable_no_cluster_job	ten_primary_slots_terminal;zero_sbatch_calls
