selection_id	object_id	side	object_role	size_bytes	expected_sha256	observed_sha256	status
P07	P07:h1:assembly_report	h1	assembly_report	4544	b2124a8f2ab108c30136021d3e9867b353b7e20e1963addaebdf99b5244f6e17	b2124a8f2ab108c30136021d3e9867b353b7e20e1963addaebdf99b5244f6e17	MATCH
P07	P07:h1:assembly_stats	h1	assembly_stats	32863	51ac1321d0c3cd6c0fb3e31ac7619af99f180d9c17c376495bbcd3bfdaa0b0ca	51ac1321d0c3cd6c0fb3e31ac7619af99f180d9c17c376495bbcd3bfdaa0b0ca	MATCH
P07	P07:h1:checksum_catalog	h1	checksum_catalog	8349	445a56b7f9dcc1c76af45ce2cb7b1fcd7219aae4f82d4f615b1e244c8669c4d8	445a56b7f9dcc1c76af45ce2cb7b1fcd7219aae4f82d4f615b1e244c8669c4d8	MATCH
P07	P07:h1:dataset_report	h1	dataset_report	4625	8d4ce5b4a55e412cf01d21dbaebeb2d30eb6351898c05508e822e808eda73417	8d4ce5b4a55e412cf01d21dbaebeb2d30eb6351898c05508e822e808eda73417	MATCH
P07	P07:h1:genome_fasta	h1	genome_fasta	123263591	2b758e606304f7cb5e795d7939979b08c21bf4f3eac7ea3cf1c6ab0a463733c7	2b758e606304f7cb5e795d7939979b08c21bf4f3eac7ea3cf1c6ab0a463733c7	MATCH
P07	P07:h2:assembly_report	h2	assembly_report	5701	f684850f1cd81383963ddb37d43c50aecad095f2038169e22ee9c8a058a2e140	f684850f1cd81383963ddb37d43c50aecad095f2038169e22ee9c8a058a2e140	MATCH
P07	P07:h2:assembly_stats	h2	assembly_stats	30529	3a962e3694b8c7fd6422386332c4fa5358338e75683fc01fc9e3491041f3f9c3	3a962e3694b8c7fd6422386332c4fa5358338e75683fc01fc9e3491041f3f9c3	MATCH
P07	P07:h2:checksum_catalog	h2	checksum_catalog	7120	3a5a52075611d6c67ea8f248ea3aeaed3d057cdbaa99f7aa3735ee02073c970e	3a5a52075611d6c67ea8f248ea3aeaed3d057cdbaa99f7aa3735ee02073c970e	MATCH
P07	P07:h2:dataset_report	h2	dataset_report	4091	cf03bba3ff16e76711221d59946bc8a067ed229a5f9aa6d627c9aca433c9e9d8	cf03bba3ff16e76711221d59946bc8a067ed229a5f9aa6d627c9aca433c9e9d8	MATCH
P07	P07:h2:genome_fasta	h2	genome_fasta	122248201	6e7e9d88b88a3d030d80009191a06c525fbcc50044db05da4d81a8e9ad97ed40	6e7e9d88b88a3d030d80009191a06c525fbcc50044db05da4d81a8e9ad97ed40	MATCH
P08	P08:h1:assembly_report	h1	assembly_report	41329	8b21132d05347d336317ff9be280c995f21c2f2f0433cbe193ccef7851d38393	8b21132d05347d336317ff9be280c995f21c2f2f0433cbe193ccef7851d38393	MATCH
P08	P08:h1:assembly_stats	h1	assembly_stats	38083	4f0eb7c5c68b5baf2ecddd6fafaab41b62032c0f59f52ea41d11201ce481b582	4f0eb7c5c68b5baf2ecddd6fafaab41b62032c0f59f52ea41d11201ce481b582	MATCH
P08	P08:h1:checksum_catalog	h1	checksum_catalog	9305	dd6b31d205e80628226e3adf7b4255a07e724f22a2b2206b218e41fe76ff3171	dd6b31d205e80628226e3adf7b4255a07e724f22a2b2206b218e41fe76ff3171	MATCH
P08	P08:h1:dataset_report	h1	dataset_report	4392	e34321250408be39f4d12fc009de7c2ad062d7d9eba5f781a609e30b3c62811b	e34321250408be39f4d12fc009de7c2ad062d7d9eba5f781a609e30b3c62811b	MATCH
P08	P08:h1:genome_fasta	h1	genome_fasta	171181962	840cac9d6f4a1748c0a96152ff20c251b9d0b439620d76e5b5e13f51248484b2	840cac9d6f4a1748c0a96152ff20c251b9d0b439620d76e5b5e13f51248484b2	MATCH
P08	P08:h2:assembly_report	h2	assembly_report	50915	011c946deac4c70fb8e87b53cd997182c111acf13cf56600ee55af347c313baa	011c946deac4c70fb8e87b53cd997182c111acf13cf56600ee55af347c313baa	MATCH
P08	P08:h2:assembly_stats	h2	assembly_stats	35759	8a50258810d132aa307a3f176dd72ecb0c214b7ba6e99558d3c2892e313c2dfc	8a50258810d132aa307a3f176dd72ecb0c214b7ba6e99558d3c2892e313c2dfc	MATCH
P08	P08:h2:checksum_catalog	h2	checksum_catalog	8257	222983f46b16bbe1a6b28017047f79a853de2a7cdb957d68720273e6e3c14569	222983f46b16bbe1a6b28017047f79a853de2a7cdb957d68720273e6e3c14569	MATCH
P08	P08:h2:dataset_report	h2	dataset_report	3857	300ddd8211b27c71b6b4a81ccf0541b1640e9ff48e3ba4a6223328b0ad384e1e	300ddd8211b27c71b6b4a81ccf0541b1640e9ff48e3ba4a6223328b0ad384e1e	MATCH
P08	P08:h2:genome_fasta	h2	genome_fasta	167473473	d42107e102c3af869ff025a1fd442f7b66e30ed5e19fe4ef9de0d4adac181182	d42107e102c3af869ff025a1fd442f7b66e30ed5e19fe4ef9de0d4adac181182	MATCH
