selection_id	species	pair_h1_accession_version	pair_h2_accession_version	native_annotation_accession_version	annotation_reference_accession_version	binding_status	annotation_path	assembly_bgzf_path	assembly_fai_path	reason
P01	Camelus dromedarius	GCA_036321535.1	GCA_036321565.1	GCF_036321535.1-RS_2024_04	GCF_036321535.1	EXACT_DICTIONARY	/moosefs/erikg/vgp/objects/sha256/19/79/19799effe8586e8d6555a0c9fc789c3c1ed3fe3e1e68bc266be3866cfcc17b59	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/036/321/535/GCF_036321535.1/GCF_036321535.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/036/321/535/GCF_036321535.1/GCF_036321535.1.fa.gz.fai	native annotation reference GCF_036321535.1 bound to its exact Freeze 1 assembly
P02	Pseudorca crassidens	GCA_039906515.1	GCA_039906525.1	GCF_039906515.1-RS_current_at_acquisition	GCF_039906515.1	EXACT_DICTIONARY	/moosefs/erikg/vgp/objects/sha256/6d/7c/6d7cd5c2278b7454b05050b4253c021fed7368e1d85abc27bc0baf60da8ec936	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/039/906/515/GCF_039906515.1/GCF_039906515.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/039/906/515/GCF_039906515.1/GCF_039906515.1.fa.gz.fai	native annotation reference GCF_039906515.1 bound to its exact Freeze 1 assembly
P03	Colius striatus	GCA_028858725.2	GCA_028858625.2	GCF_028858725.1-RS_2023_12	GCF_028858725.1	EXACT_DICTIONARY	/moosefs/erikg/vgp/objects/sha256/49/c4/49c43159cd55bf9eb6ad5280f2f9ee825d8657b1709a661600ec3344de577d22	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/028/858/725/GCF_028858725.1/GCF_028858725.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/028/858/725/GCF_028858725.1/GCF_028858725.1.fa.gz.fai	native annotation reference GCF_028858725.1 bound to its exact Freeze 1 assembly
P04	Falco naumanni	GCA_017639655.1	GCA_017639645.1	GCF_017639655.2-RS_current_at_acquisition	GCF_017639655.2	EXACT_DICTIONARY	/moosefs/erikg/vgp/objects/sha256/da/42/da42b9de377ca463caea314b11604272161cc5d7dc86451c26974e9bbefd67b1	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/017/639/655/GCF_017639655.2/GCF_017639655.2.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/017/639/655/GCF_017639655.2/GCF_017639655.2.fa.gz.fai	native annotation reference GCF_017639655.2 bound to its exact Freeze 1 assembly
P05	Candoia aspera	GCA_035149785.1	GCA_035125265.1	GCF_035149785.1-RS_2024_02	GCF_035149785.1	EXACT_DICTIONARY	/moosefs/erikg/vgp/objects/sha256/7e/0f/7e0fc35e20e59e337469c956c20841a49f2300debbe15dcb47dc3ad951844ee1	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/035/149/785/GCF_035149785.1/GCF_035149785.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/035/149/785/GCF_035149785.1/GCF_035149785.1.fa.gz.fai	native annotation reference GCF_035149785.1 bound to its exact Freeze 1 assembly
P06	Dendropsophus ebraccatus	GCA_027789765.1	GCA_027789725.1	GCF_027789765.1-RS_2024_11	GCF_027789765.1	EXACT_DICTIONARY	/moosefs/erikg/vgp/objects/sha256/3c/fe/3cfe1725b21edbfb10cd2a33affa7499ee7f7054f175c0bf64339e6367b70b60	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/027/789/765/GCF_027789765.1/GCF_027789765.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/027/789/765/GCF_027789765.1/GCF_027789765.1.fa.gz.fai	native annotation reference GCF_027789765.1 bound to its exact Freeze 1 assembly
P07	Spinachia spinachia	GCA_048126635.1	GCA_048127205.1	GCA_048126635.1-GB_2025_08_04	GCA_048126635.1	EXACT_DICTIONARY	/moosefs/erikg/vgp/objects/sha256/8f/64/8f640543accd8081d1b7048eda32c9f1eef33b02f321b7b0f8adcf3b01dd6838	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/048/126/635/GCA_048126635.1/GCA_048126635.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/048/126/635/GCA_048126635.1/GCA_048126635.1.fa.gz.fai	native annotation reference GCA_048126635.1 bound to its exact Freeze 1 assembly
P08	Menidia menidia	GCA_048628825.1	GCA_048544195.1	GCA_048628825.1-GB_2025_08_13	GCA_048628825.1	EXACT_DICTIONARY	/moosefs/erikg/vgp/objects/sha256/d9/a5/d9a55180865c1a04aba7fde3a2e9008d63b607731b1dcac43bee1d2750f03b7e	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/048/628/825/GCA_048628825.1/GCA_048628825.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/048/628/825/GCA_048628825.1/GCA_048628825.1.fa.gz.fai	native annotation reference GCA_048628825.1 bound to its exact Freeze 1 assembly
P09	Heterodontus francisci	GCA_036365525.1	GCA_036365495.1	GCF_036365525.1-RS_2024_08	GCF_036365525.1	EXACT_DICTIONARY	/moosefs/erikg/vgp/objects/sha256/a0/3e/a03e4702308e69d1399fdf5dccda6964d61afc1f9fb5a4bc77587a7d25f65e14	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/036/365/525/GCF_036365525.1/GCF_036365525.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/036/365/525/GCF_036365525.1/GCF_036365525.1.fa.gz.fai	native annotation reference GCF_036365525.1 bound to its exact Freeze 1 assembly
P10	Hemiscyllium ocellatum	GCA_020745735.1	GCA_020745765.1	GCF_020745735.1-RS_current_at_acquisition	GCF_020745735.1	EXACT_DICTIONARY	/moosefs/erikg/vgp/objects/sha256/9d/67/9d67a6d353b7ba18cf8bdd673126684996abc614c2f3e406623aad9a52a88e8a	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/020/745/735/GCF_020745735.1/GCF_020745735.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCF/020/745/735/GCF_020745735.1/GCF_020745735.1.fa.gz.fai	native annotation reference GCF_020745735.1 bound to its exact Freeze 1 assembly
