JobIDRaw|JobName|State|Elapsed|ElapsedRaw|Timelimit|AllocCPUS|ReqMem|MaxRSS|MaxVMSize|AveRSS|CPUTimeRAW|TotalCPU|NodeList|Submit|Start|End|ExitCode
1791510|vgp-clean-P07|COMPLETED|04:23:58|15838|3-00:00:00|32|128G||||506816|00:00:00|octopus02|2026-07-22T18:21:07|2026-07-22T18:21:07|2026-07-22T22:45:05|0:0
1791510.batch|batch|COMPLETED|04:23:58|15838||32|||||506816|00:00:00|octopus02|2026-07-22T18:21:07|2026-07-22T18:21:07|2026-07-22T22:45:05|0:0
1791510.0|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T18:26:31|2026-07-22T18:26:31|2026-07-22T18:26:31|0:0
1791510.1|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T18:26:42|2026-07-22T18:26:42|2026-07-22T18:26:42|0:0
1791510.2|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T18:37:32|2026-07-22T18:37:32|2026-07-22T18:37:32|0:0
1791510.3|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T18:55:31|2026-07-22T18:55:31|2026-07-22T18:55:31|0:0
1791510.4|bash|FAILED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:01:27|2026-07-22T19:01:27|2026-07-22T19:01:27|1:0
1791510.5|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:02:52|2026-07-22T19:02:52|2026-07-22T19:02:52|0:0
1791510.6|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:07:30|2026-07-22T19:07:30|2026-07-22T19:07:30|0:0
1791510.7|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:07:35|2026-07-22T19:07:35|2026-07-22T19:07:35|0:0
1791510.8|bash|COMPLETED|00:00:01|1||32|||||32|00:00:00|octopus02|2026-07-22T19:07:47|2026-07-22T19:07:47|2026-07-22T19:07:48|0:0
1791510.9|bash|COMPLETED|00:00:01|1||32|||||32|00:00:00|octopus02|2026-07-22T19:11:29|2026-07-22T19:11:29|2026-07-22T19:11:30|0:0
1791510.10|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:11:35|2026-07-22T19:11:35|2026-07-22T19:11:35|0:0
1791510.11|bash|COMPLETED|00:00:01|1||32|||||32|00:00:00|octopus02|2026-07-22T19:12:45|2026-07-22T19:12:45|2026-07-22T19:12:46|0:0
1791510.12|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:14:57|2026-07-22T19:14:57|2026-07-22T19:14:57|0:0
1791510.13|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:17:11|2026-07-22T19:17:11|2026-07-22T19:17:11|0:0
1791510.14|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:20:35|2026-07-22T19:20:35|2026-07-22T19:20:35|0:0
1791510.15|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:23:04|2026-07-22T19:23:04|2026-07-22T19:23:04|0:0
1791510.16|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:25:17|2026-07-22T19:25:17|2026-07-22T19:25:17|0:0
1791510.17|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:27:40|2026-07-22T19:27:40|2026-07-22T19:27:40|0:0
1791510.18|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:30:58|2026-07-22T19:30:58|2026-07-22T19:30:58|0:0
1791510.19|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:34:15|2026-07-22T19:34:15|2026-07-22T19:34:15|0:0
1791510.20|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:37:37|2026-07-22T19:37:37|2026-07-22T19:37:37|0:0
1791510.21|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:38:56|2026-07-22T19:38:56|2026-07-22T19:38:56|0:0
1791510.22|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:43:18|2026-07-22T19:43:18|2026-07-22T19:43:18|0:0
1791510.23|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:45:43|2026-07-22T19:45:43|2026-07-22T19:45:43|0:0
1791510.24|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:48:06|2026-07-22T19:48:06|2026-07-22T19:48:06|0:0
1791510.25|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:50:22|2026-07-22T19:50:22|2026-07-22T19:50:22|0:0
1791510.26|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:50:26|2026-07-22T19:50:26|2026-07-22T19:50:26|0:0
1791510.27|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:50:32|2026-07-22T19:50:32|2026-07-22T19:50:32|0:0
1791510.28|bash|FAILED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:53:51|2026-07-22T19:53:51|2026-07-22T19:53:51|1:0
1791510.29|python3|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:53:57|2026-07-22T19:53:57|2026-07-22T19:53:57|0:0
1791510.30|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:55:16|2026-07-22T19:55:16|2026-07-22T19:55:16|0:0
1791510.31|bash|COMPLETED|00:00:01|1||32|||||32|00:00:00|octopus02|2026-07-22T19:57:30|2026-07-22T19:57:30|2026-07-22T19:57:31|0:0
1791510.32|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:58:45|2026-07-22T19:58:45|2026-07-22T19:58:45|0:0
1791510.33|bash|COMPLETED|00:00:01|1||32|||||32|00:00:00|octopus02|2026-07-22T19:59:02|2026-07-22T19:59:02|2026-07-22T19:59:03|0:0
1791510.34|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T19:59:09|2026-07-22T19:59:09|2026-07-22T19:59:09|0:0
1791510.35|bash|COMPLETED|00:00:00|0||32|||||0|00:00:00|octopus02|2026-07-22T20:02:53|2026-07-22T20:02:53|2026-07-22T20:02:53|0:0
