stage	array_task_id	disposition	started_epoch	ended_epoch	elapsed_seconds	retry	scratch_available_bytes_at_start	scratch_high_water_bytes	scratch_required_bytes	scratch_path
preflight		success	1784744487	1784744496	9	0	850930454528	8234	736535376	/scratch/vgp-clean-P07-1791510-KMUN0E/vgp-vgp-clean-canary-20260722-v1-P07-preflight-1791510.partial
mapping		success	1784744496	1784746595	2099		850930372608		68719476736	
impg		success	1784746595	1784749613	3018	0	850867417088	164849618	68719476736	/scratch/vgp-clean-P07-1791510-KMUN0E/vgp-vgp-clean-canary-20260722-v1-P07-impg-1791510.partial
variants		success	1784749614	1784749661	47	0	849878773760	109043273	68719476736	/scratch/vgp-clean-P07-1791510-KMUN0E/vgp-vgp-clean-canary-20260722-v1-P07-variants-1791510.partial
consensus		success	1784749661	1784749880	219	0	849769701376	498727393	68719476736	/scratch/vgp-clean-P07-1791510-KMUN0E/vgp-vgp-clean-canary-20260722-v1-P07-consensus-1791510.partial
annotation		success	1784749881	1784750087	206	0	849270697984	71155138	17179869184	/scratch/vgp-clean-P07-1791510-KMUN0E/vgp-vgp-clean-canary-20260722-v1-P07-annotation-1791510.partial
psmc/replicate-000	0	success	1784750088	1784750948	860	0	849199583232	103578	17179869184	/scratch/vgp-clean-P07-1791510-KMUN0E/vgp-vgp-clean-canary-20260722-v1-P07-psmc-replicate-000-1791510.partial
psmc/replicate-001	1	success	1784750088	1784750895	807	0	849199583232	104116	17179869184	/scratch/vgp-clean-P07-1791510-KMUN0E/vgp-vgp-clean-canary-20260722-v1-P07-psmc-replicate-001-1791510.partial
psmc/replicate-002	2	success	1784750088	1784751033	945	0	849199587328	103570	17179869184	/scratch/vgp-clean-P07-1791510-KMUN0E/vgp-vgp-clean-canary-20260722-v1-P07-psmc-replicate-002-1791510.partial
psmc/replicate-003	3	success	1784750088	1784750936	848	0	849199607808	103586	17179869184	/scratch/vgp-clean-P07-1791510-KMUN0E/vgp-vgp-clean-canary-20260722-v1-P07-psmc-replicate-003-1791510.partial
psmc/replicate-004	4	success	1784750088	1784750927	839	0	849199607808	103638	17179869184	/scratch/vgp-clean-P07-1791510-KMUN0E/vgp-vgp-clean-canary-20260722-v1-P07-psmc-replicate-004-1791510.partial
