pair_id	catalog_row	scientific_name	link_class	h1_accession_version	h2_accession_version	disposition	primary_reason_code	core_callable_diversity	psmc_unscaled	annotation_partitions	same_pair_psmc_independent_evidence
R0002-ALT01	2	Elephas maximus indicus	alternate	GCA_024166365.1	GCA_024166345.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0003-HQ01	3	Loxodonta africana	other_high_quality	GCA_030014295.1	GCA_030020305.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0004-ALT01	4	Heterohyrax brucei	alternate	GCA_028571685.1	GCA_028571665.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0005-HQ01	5	Dugong dugon	other_high_quality	GCA_030035585.1	GCA_030020955.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0006-HQ01	6	Trichechus inunguis	other_high_quality	GCA_046562895.1	GCA_046562985.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0007-HQ01	7	Rhynchocyon petersi	other_high_quality	GCA_043290085.1	GCA_043290065.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0011-ALT01	11	Tamandua tetradactyla	alternate	GCA_023851605.1	GCA_023853755.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0012-ALT01	12	Choloepus didactylus	alternate	GCA_015220235.1	GCA_015220265.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0013-HQ01	13	Dasypus novemcinctus	other_high_quality	GCA_030445035.2	GCA_030445055.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0014-HQ01	14	Homo sapiens	other_high_quality	GCA_009914755.4	GCA_016700455.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0014-HQ02	14	Homo sapiens	other_high_quality	GCA_009914755.4	GCA_016695395.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0014-HQ03	14	Homo sapiens	other_high_quality	GCA_009914755.4	GCF_000001405.40	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0015-HQ01	15	Pan troglodytes	other_high_quality	GCA_028858775.2	GCA_028858805.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0018-HQ01	18	Pongo abelii	other_high_quality	GCA_028885655.2	GCA_028885685.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0019-HQ01	19	Pongo pygmaeus	other_high_quality	GCA_028885625.2	GCA_028885525.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0020-HQ01	20	Symphalangus syndactylus	other_high_quality	GCA_028878055.3	GCA_028878085.3	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0022-HQ01	22	Macaca nemestrina	other_high_quality	GCA_043159975.1	GCA_043161795.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0023-HQ01	23	Callithrix jacchus	other_high_quality	GCA_049354715.1	GCA_049354655.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0023-HQ02	23	Callithrix jacchus	other_high_quality	GCA_049354715.1	GCA_011100555.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0023-HQ03	23	Callithrix jacchus	other_high_quality	GCA_049354715.1	GCA_011078405.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0024-ALT01	24	Saimiri boliviensis	alternate	GCA_048565385.1	GCA_048565415.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0028-ALT01	28	Nycticebus coucang	alternate	GCA_027406575.1	GCA_027406535.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0029-ALT01	29	Lemur catta	alternate	GCA_020740605.1	GCA_020740595.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0030-ALT01	30	Cynocephalus volans	alternate	GCA_027409185.1	GCA_027409165.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0031-ALT01	31	Erethizon dorsatum	alternate	GCA_028451465.1	GCA_028500835.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0032-HQ01	32	Ctenodactylus gundi	other_high_quality	GCA_048771875.1	GCA_048771865.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0033-ALT01	33	Muscardinus avellanarius	alternate	GCA_963383645.1	GCA_963383665.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0034-ALT01	34	Sciurus vulgaris	alternate	GCA_902686455.2	GCA_902685485.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0035-ALT01	35	Sciurus carolinensis	alternate	GCA_902686445.2	GCA_902685475.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0036-HQ01	36	Urocitellus parryii	other_high_quality	GCA_045843805.1	GCA_045843765.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0037-ALT01	37	Spermophilus citellus	alternate	GCA_964194105.1	GCA_964194095.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0038-HQ01	38	Callospermophilus lateralis	other_high_quality	GCA_048772815.1	GCA_048772825.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0039-HQ01	39	Marmota flaviventris	other_high_quality	GCA_047511675.1	GCA_047512175.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0042-ALT01	42	Apodemus sylvaticus	alternate	GCA_947179515.1	GCA_947179525.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0043-ALT01	43	Arvicanthis niloticus	alternate	GCA_011762505.3	GCA_011750645.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0044-ALT01	44	Rattus norvegicus	alternate	GCA_015227675.2	GCA_015244455.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0045-ALT01	45	Micromys minutus	alternate	GCA_963924665.1	GCA_963924645.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0046-ALT01	46	Mus musculus	alternate	GCA_949316315.1	GCA_949316305.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0048-HQ01	48	Microtus pennsylvanicus	other_high_quality	GCA_037038515.1	GCA_037039175.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0050-ALT01	50	Arvicola amphibius	alternate	GCA_903992535.2	GCA_903992525.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0051-ALT01	51	Chionomys nivalis	alternate	GCA_950005125.1	GCA_950005115.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0055-HQ01	55	Jaculus jaculus	other_high_quality	GCA_020740685.1	GCA_020740715.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0058-HQ01	58	Thomomys bottae	other_high_quality	GCA_031878675.1	GCA_031878665.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0058-HQ02	58	Thomomys bottae	other_high_quality	GCA_031878675.1	GCA_024803745.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
