task_index	inventory_id	accession_version	source_relative_path	source_path	source_format	source_bytes	source_compressed_sha256	mirror_state	derived_relative_path	resource_class	cpus	memory_mb	scratch_bytes	walltime
0	81d4900c39453a98921984ad3a27b02095272f97fb1c8791dc8002ef17394c71	GCA_003287225.2	GCA/003/287/225/GCA_003287225.2/GCA_003287225.2.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/003/287/225/GCA_003287225.2/GCA_003287225.2.fa.gz	gzip	1076113977	f3c33b53d2e5ed586bdf8e36720d228301fa21d8fe525dc22923c0844d01cd1e	verified	objects/GCA/003/287/225/GCA_003287225.2/GCA_003287225.2.fa.gz	medium	6	16384	8589934592	08:00:00
1	76ccecb5482fb88e16231d1822461bc573c3618b6673f8ccda9a1ab7548f1056	GCA_005190385.3	GCA/005/190/385/GCA_005190385.3/GCA_005190385.3.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/005/190/385/GCA_005190385.3/GCA_005190385.3.fa.gz	gzip	772784388	8ec49bb20e35c061eb857c675ea6212933f19039f1552eb86017a2913cac01f7	verified	objects/GCA/005/190/385/GCA_005190385.3/GCA_005190385.3.fa.gz	small	4	8192	4294967296	04:00:00
2	7034052d5f2c600df8d586408211112e38f65d84cb406a3a7027cbc27afefbdf	GCA_008658365.1	GCA/008/658/365/GCA_008658365.1/GCA_008658365.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/008/658/365/GCA_008658365.1/GCA_008658365.1.fa.gz	gzip	394060754	c0ed25ef5832c6560960fd99c2596809dd5e7c0cf5879ced79e4b14cbb582358	verified	objects/GCA/008/658/365/GCA_008658365.1/GCA_008658365.1.fa.gz	small	4	8192	4294967296	04:00:00
3	05c6aaacfdd15df83ed64a372cda76d4f3084a7dc3532cafebcce5066d6aba30	GCA_009764595.1	GCA/009/764/595/GCA_009764595.1/GCA_009764595.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/009/764/595/GCA_009764595.1/GCA_009764595.1.fa.gz	gzip	352270621	3cd82418e161f965dc2029ae80647bf14c50b4515f0c673ede3fa4695affcec9	verified	objects/GCA/009/764/595/GCA_009764595.1/GCA_009764595.1.fa.gz	small	4	8192	4294967296	04:00:00
4	137d7b9c2c8847ef72387c26917bb8bcd76f1fdbf4f7565059ff464cfaf31851	GCA_009769465.1	GCA/009/769/465/GCA_009769465.1/GCA_009769465.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/009/769/465/GCA_009769465.1/GCA_009769465.1.fa.gz	gzip	411294660	7fa73a7aebb77e3413990e3f92d1d35d4a19784b630b0d5aa0bc44e22c708b67	verified	objects/GCA/009/769/465/GCA_009769465.1/GCA_009769465.1.fa.gz	small	4	8192	4294967296	04:00:00
5	659e66a9314d97c75d7af932511d9ea888e8a6c66b9c619e52a1bafe7c42dc53	GCA_009769525.1	GCA/009/769/525/GCA_009769525.1/GCA_009769525.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/009/769/525/GCA_009769525.1/GCA_009769525.1.fa.gz	gzip	376072972	11f2a1c7425e42dddf252f0e7550f8d7600b7541e1b4a6e44e2c80253ca97681	verified	objects/GCA/009/769/525/GCA_009769525.1/GCA_009769525.1.fa.gz	small	4	8192	4294967296	04:00:00
6	e4b30fec7ca1d4172f03998acee3beed47afafe1ec03b5675aab95064b3d053a	GCA_009769605.1	GCA/009/769/605/GCA_009769605.1/GCA_009769605.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/009/769/605/GCA_009769605.1/GCA_009769605.1.fa.gz	gzip	377411583	b58f257c9eecc98606c058651798666b87a7e28b76b2d4af237a84f23749cfb3	verified	objects/GCA/009/769/605/GCA_009769605.1/GCA_009769605.1.fa.gz	small	4	8192	4294967296	04:00:00
7	34725ba8813150570d1afdb0930626841795307492d1b5be3c5085d2a308fbec	GCA_009819595.1	GCA/009/819/595/GCA_009819595.1/GCA_009819595.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/009/819/595/GCA_009819595.1/GCA_009819595.1.fa.gz	gzip	381594146	8129edec6a50cc05e7fec17f2156e39808f02f78fdf4e26417693bdc83d7c187	verified	objects/GCA/009/819/595/GCA_009819595.1/GCA_009819595.1.fa.gz	small	4	8192	4294967296	04:00:00
8	ded73c3a75a75d0e700729f2b4c9ee8aacea423472c6f2cc2613e94b21240771	GCA_009819605.1	GCA/009/819/605/GCA_009819605.1/GCA_009819605.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/009/819/605/GCA_009819605.1/GCA_009819605.1.fa.gz	gzip	409119932	bd52e124f7a13ad09fbb9899638c183acc7030600c3d5038f5c0347dadc2ad8d	verified	objects/GCA/009/819/605/GCA_009819605.1/GCA_009819605.1.fa.gz	small	4	8192	4294967296	04:00:00
9	30117427e7112d2c1f01ef14fef5d07da23ac8e4b66b288833e7be9edf514353	GCA_009819775.1	GCA/009/819/775/GCA_009819775.1/GCA_009819775.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/009/819/775/GCA_009819775.1/GCA_009819775.1.fa.gz	gzip	415837874	1500ff3e379def7cba1a3bd0e4bba71bed14d3438d5935d58255a2c930d73c73	verified	objects/GCA/009/819/775/GCA_009819775.1/GCA_009819775.1.fa.gz	small	4	8192	4294967296	04:00:00
