versioned_taxon_id	candidate_id	scientific_name	ncbi_taxid	class	order	seed_modalities	h1_accession_version	h2_accession_version	same_individual_status	annotation_file_status	annotation_native_status	callable_bases	callable_fraction	queryable_gene_count	queryable_gene_bases	assembly_composition_eligible	assembly_diversity_eligible	population_genomic_eligible	demographic_eligible	acceptance_status	explicit_rejection_reason	blocking_requirement_ids	pilot_selected	predicted_download_gb_exact	predicted_core_hours_base	predicted_core_hours_high	predicted_peak_memory_gib_base	predicted_peak_memory_gib_high	predicted_wall_hours_base	predicted_wall_hours_high	predicted_scratch_gb_base	predicted_scratch_gb_high	predicted_inode_count_base	predicted_inode_count_high	predicted_moosefs_read_gb_base	predicted_moosefs_read_gb_high	predicted_moosefs_write_gb_base	predicted_moosefs_write_gb_high	predicted_metadata_operations_base	predicted_metadata_operations_high	ne_source_rows	accepted_independent_ne_rows	population_availability_rows	callable_diploid_genotypes_availability_class	population_vcf_availability_class	demographic_inference_readiness	join_status
dasypus_novemcinctus_gca_030445035_2|GCA_030445035.2	dasypus_novemcinctus_gca_030445035_2	Dasypus novemcinctus	9361	Mammalia	Cingulata	tier3a_seed	GCA_030445035.2	GCA_030445055.2	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	2.181633	0.5923	2.5605	8.31	32.0	0.452	2.0076	17.2499	84.1713	1559	5196	18.7047	93.5237	0.1455	0.7274	12470	62349	0	0	0				no_selected_pilot_species_no_inventory_rows
jaculus_jaculus_gca_020740685_1|GCA_020740685.1	jaculus_jaculus_gca_020740685_1	Jaculus jaculus	51337	Mammalia	Rodentia	tier3a_seed	GCA_020740685.1	GCA_020740715.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	1.642022	0.5471	2.3648	7.68	30.71	0.4175	1.8542	15.9317	77.739	1440	4799	17.2753	86.3767	0.1344	0.6718	11517	57584	0	0	0				no_selected_pilot_species_no_inventory_rows
ochotona_princeps_gca_030435755_1|GCA_030435755.1	ochotona_princeps_gca_030435755_1	Ochotona princeps	9978	Mammalia	Lagomorpha	tier3a_seed	GCA_030435755.1	GCA_030435715.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	1.395935	0.5641	2.4386	7.92	31.67	0.4305	1.9121	16.4291	80.1662	1485	4949	17.8147	89.0735	0.1386	0.6928	11876	59382	0	0	0				no_selected_pilot_species_no_inventory_rows
hippopotamus_amphibius_gca_030028045_1|GCA_030028045.1	hippopotamus_amphibius_gca_030028045_1	Hippopotamus amphibius	575201	Mammalia	Artiodactyla	tier3a_seed	GCA_030028045.1	GCA_030028035.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	1.571143	0.4204	1.8172	5.9	23.6	0.3208	1.4249	12.2425	59.7377	1106	3688	13.275	66.3752	0.1033	0.5163	8850	44250	0	0	0				no_selected_pilot_species_no_inventory_rows
camelus_dromedarius_gca_036321535_1|GCA_036321535.1	camelus_dromedarius_gca_036321535_1	Camelus dromedarius	9838	Mammalia	Artiodactyla	tier3a_seed	GCA_036321535.1	GCA_036321565.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	1.305801	0.3761	1.6259	5.28	21.12	0.287	1.2749	10.9538	53.4493	990	3299	11.8776	59.3881	0.0924	0.4619	7918	39592	0	0	0				no_selected_pilot_species_no_inventory_rows
diceros_bicornis_minor_gca_020826845_1|GCA_020826845.1	diceros_bicornis_minor_gca_020826845_1	Diceros bicornis minor	77932	Mammalia	Perissodactyla	tier3a_seed	GCA_020826845.1	GCA_020826835.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	1.813769	0.5121	2.2138	7.19	28.75	0.3908	1.7358	14.9145	72.7758	1348	4492	16.1724	80.862	0.1258	0.6289	10782	53908	0	0	0				no_selected_pilot_species_no_inventory_rows
manis_pentadactyla_gca_030020395_1|GCA_030020395.1	manis_pentadactyla_gca_030020395_1	Manis pentadactyla	143292	Mammalia	Pholidota	tier3a_seed	GCA_030020395.1	GCA_030020945.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	1.675079	0.4783	2.0676	6.71	26.85	0.365	1.6212	13.9294	67.9687	1259	4196	15.1042	75.5208	0.1175	0.5874	10069	50347	0	0	0				no_selected_pilot_species_no_inventory_rows
macropus_eugenii_gca_028372415_2|GCA_028372415.2	macropus_eugenii_gca_028372415_2	Macropus eugenii	9315	Mammalia	Diprotodontia	tier3a_seed	GCA_028372415.2	UNRESOLVED	no	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;reject_pair_unresolved	B02;B03	no	1.09463	0.5468	2.3636	7.67	30.7	0.4173	1.8533	15.9236	77.6995	1439	4796	17.2666	86.3328	0.1343	0.6715	11511	57555	0	0	0				no_selected_pilot_species_no_inventory_rows
colius_striatus_gca_028858725_2|GCA_028858725.2	colius_striatus_gca_028858725_2	Colius striatus	57412	Aves	Coliiformes	tier3a_seed	GCA_028858725.2	GCA_028858625.2	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	0.71376	0.2329	1.0067	3.27	13.07	0.1777	0.7893	6.782	33.0929	613	2043	7.354	36.7699	0.0572	0.286	4903	24513	0	0	0				no_selected_pilot_species_no_inventory_rows
gavia_stellata_gca_030936135_1|GCA_030936135.1	gavia_stellata_gca_030936135_1	Gavia stellata	37040	Aves	Gaviiformes	tier3a_seed	GCA_030936135.1	GCA_030936125.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	0.806454	0.3423	1.4797	4.8	19.22	0.2612	1.1602	9.9685	48.6413	901	3003	10.8092	54.0459	0.0841	0.4204	7206	36031	0	0	0				no_selected_pilot_species_no_inventory_rows
