candidate_id	scientific_name	catalog_row_number	resolution_priority	seed_modalities	resolved_modality	h1_accession_version	h2_accession_version	ncbi_taxid	class	order	acceptance_status	explicit_rejection_reason	blocking_requirement_ids	annotation_reference_accession_version	annotation_sequence_region_linkage_status	same_individual_status	phase_evidence_status	metadata_cache_request_keys	resolution_reason_codes
dasypus_novemcinctus_gca_030445035_2	Dasypus novemcinctus	13		tier3a_seed		GCA_030445035.2	GCA_030445055.2	9361	Mammalia	Cingulata	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_030445035.2		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
jaculus_jaculus_gca_020740685_1	Jaculus jaculus	55		tier3a_seed		GCA_020740685.1	GCA_020740715.1	51337	Mammalia	Rodentia	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_020740685.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
ochotona_princeps_gca_030435755_1	Ochotona princeps	61		tier3a_seed		GCA_030435755.1	GCA_030435715.1	9978	Mammalia	Lagomorpha	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_030435755.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
hippopotamus_amphibius_gca_030028045_1	Hippopotamus amphibius	91		tier3a_seed		GCA_030028045.1	GCA_030028035.1	575201	Mammalia	Artiodactyla	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_030028045.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
camelus_dromedarius_gca_036321535_1	Camelus dromedarius	102	1	tier3a_seed	tier3c_composition	GCF_036321535.1		9838	Mammalia	Artiodactyla	blocked_stricter_cap	metadata_eligible_but_not_selected_user_quota_unavailable_fail_closed	QUOTA_UNAVAILABLE	GCF_036321535.1	proven_official_exact_h1	not_applicable_composition_only	not_applicable_composition_only	acd393a5da9277a848f470b093eb03c3bce0e279bc31b89637fccb9aa01aef9a;a648ed5fc7c368b934a50744e84196ef308d157f1e493b34628300c30f9eef79;5373a2c941b7d12ba8c75785da5c28045c97387583de6559e2e982a7d361c6e4;357a09301e2e1146064386c3e7697f75c393021c2213da1c7237023cdcf297e4;833a9dd05aa07fcfa734bfe53a1498845bec28337533939c47446a3582dd2c6b;d053c05db5f4f1121e77727e51db07a65a7ebe21d88a08b30009ba513ece7131	QUOTA_UNAVAILABLE
diceros_bicornis_minor_gca_020826845_1	Diceros bicornis minor	106		tier3a_seed		GCA_020826845.1	GCA_020826835.1	77932	Mammalia	Perissodactyla	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_020826845.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
manis_pentadactyla_gca_030020395_1	Manis pentadactyla	178		tier3a_seed		GCA_030020395.1	GCA_030020945.1	143292	Mammalia	Pholidota	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_030020395.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
macropus_eugenii_gca_028372415_2	Macropus eugenii	185		tier3a_seed		GCA_028372415.2	UNRESOLVED	9315	Mammalia	Diprotodontia	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_028372415.2		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
colius_striatus_gca_028858725_2	Colius striatus	264	2	tier3a_seed	tier3c_composition	GCF_028858725.1		57412	Aves	Coliiformes	blocked_stricter_cap	metadata_eligible_but_not_selected_user_quota_unavailable_fail_closed	QUOTA_UNAVAILABLE	GCF_028858725.1	proven_official_exact_h1	not_applicable_composition_only	not_applicable_composition_only	acd393a5da9277a848f470b093eb03c3bce0e279bc31b89637fccb9aa01aef9a;a648ed5fc7c368b934a50744e84196ef308d157f1e493b34628300c30f9eef79;ef23c0429fec1a58a1afd94aa6de09af3022343ff6dccad0202ff2bc07a285c7;d515763c71e9143481baf0c8ab872eff83a79ea25421a891b4c31f8bca6906df;c9d0524f3dda0c7214b96efb09e486a77564671a38420c2924d81d21a91dc704;3f9b88383a1e32c1dfe9a016a03d42c6cd02824056f1dfead1ec46440cfed153	QUOTA_UNAVAILABLE
gavia_stellata_gca_030936135_1	Gavia stellata	287		tier3a_seed		GCA_030936135.1	GCA_030936125.1	37040	Aves	Gaviiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_030936135.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
gallus_gallus_gca_016700215_2	Gallus gallus	329		tier3a_seed		GCA_016700215.2	UNRESOLVED	9031	Aves	Galliformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_016700215.2		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
struthio_camelus_australis_gca_040807025_1	Struthio camelus australis	348		tier3a_seed		GCA_040807025.1	GCA_040807015.1	8801	Aves	Struthioniformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_040807025.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
