schema_version	canonical_vgp_root	catalog_commit	catalog_sha256	catalog_line	catalog_record_ordinal	scientific_name	taxid	main_accession_version	catalog_link_count	eligible_audited_pair_count	catalog_disposition
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	2	1	Elephas maximus indicus	99487	GCA_024166365.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	3	2	Loxodonta africana	9785	GCA_030014295.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	4	3	Heterohyrax brucei	77598	GCA_028571685.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	5	4	Dugong dugon	29137	GCA_030035585.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	6	5	Trichechus inunguis	9777	GCA_046562895.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	7	6	Rhynchocyon petersi	320637	GCA_043290085.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	8	7	Tenrec ecaudatus	319815		0	0	CATALOG_UNRELEASED_NO_MAIN_ACCESSION
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	9	8	Amblysomus hottentotus	9391		0	0	CATALOG_UNRELEASED_NO_MAIN_ACCESSION
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	10	9	Orycteropus afer	9818		0	0	CATALOG_UNRELEASED_NO_MAIN_ACCESSION
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	11	10	Tamandua tetradactyla	48850	GCA_023851605.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	12	11	Choloepus didactylus	27675	GCA_015220235.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	13	12	Dasypus novemcinctus	9361	GCA_030445035.2	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	14	13	Homo sapiens	9606	GCA_009914755.4	3	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	15	14	Pan troglodytes	9598	GCA_028858775.2	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	16	15	Pan paniscus	9597	GCA_029289425.3	0	0	CATALOG_RELEASED_NO_LINKED_HAPLOTYPE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	17	16	Gorilla gorilla	9593	GCA_029281585.3	0	0	CATALOG_RELEASED_NO_LINKED_HAPLOTYPE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	18	17	Pongo abelii	9601	GCA_028885655.2	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	19	18	Pongo pygmaeus	9600	GCA_028885625.2	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	20	19	Symphalangus syndactylus	9590	GCA_028878055.3	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	21	20	Macaca fascicularis	9541	GCA_037993035.1	0	0	CATALOG_RELEASED_NO_LINKED_HAPLOTYPE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	22	21	Macaca nemestrina	9545	GCA_043159975.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	23	22	Callithrix jacchus	9483	GCA_049354715.1	3	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	24	23	Saimiri boliviensis	27679	GCA_048565385.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	25	24	Ateles marginatus	1529884		0	0	CATALOG_UNRELEASED_NO_MAIN_ACCESSION
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	26	25	Chiropotes utahicki	280160		0	0	CATALOG_UNRELEASED_NO_MAIN_ACCESSION
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	27	26	Carlito syrichta	1868482		0	0	CATALOG_UNRELEASED_NO_MAIN_ACCESSION
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	28	27	Nycticebus coucang	9470	GCA_027406575.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	29	28	Lemur catta	9447	GCA_020740605.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	30	29	Cynocephalus volans	110931	GCA_027409185.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	31	30	Erethizon dorsatum	34844	GCA_028451465.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	32	31	Ctenodactylus gundi	10166	GCA_048771875.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	33	32	Muscardinus avellanarius	39082	GCA_963383645.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	34	33	Sciurus vulgaris	55149	GCA_902686455.2	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	35	34	Sciurus carolinensis	30640	GCA_902686445.2	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	36	35	Urocitellus parryii	9999	GCA_045843805.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	37	36	Spermophilus citellus	9997	GCA_964194105.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	38	37	Callospermophilus lateralis	76772	GCA_048772815.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	39	38	Marmota flaviventris	93162	GCA_047511675.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	40	39	Aplodontia rufa	51342		0	0	CATALOG_UNRELEASED_NO_MAIN_ACCESSION
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	41	40	Acomys russatus	60746	GCA_903995435.1	0	0	CATALOG_RELEASED_NO_LINKED_HAPLOTYPE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	42	41	Apodemus sylvaticus	10129	GCA_947179515.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	43	42	Arvicanthis niloticus	61156	GCA_011762505.3	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	44	43	Rattus norvegicus	10116	GCA_015227675.2	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	45	44	Micromys minutus	13151	GCA_963924665.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
