canonical_vgp_root	selection_id	primary_theta_0_per_100bp_bin	source_path	source_sha256	interval	time_2N0	lambda
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	0	0.0	0.982928
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	1	0.007236	0.982928
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	2	0.014996	0.982928
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	3	0.023317	0.982928
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	4	0.03224	2.874536
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	5	0.04181	2.874536
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	6	0.052071	1.740358
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	7	0.063075	1.740358
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	8	0.074875	1.477309
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	9	0.08753	1.477309
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	10	0.101099	1.558011
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	11	0.115651	1.558011
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	12	0.131256	1.587279
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	13	0.14799	1.587279
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	14	0.165935	1.476191
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	15	0.185178	1.476191
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	16	0.205814	1.321172
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	17	0.227943	1.321172
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	18	0.251673	1.223203
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	19	0.277121	1.223203
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	20	0.30441	1.168776
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	21	0.333673	1.168776
