canonical_vgp_root	selection_id	source_path	source_sha256	scenario_id	interval	time_years	effective_size	mutation_rate_per_generation	generation_time_years	psmc_bin_size_bp	mutation_rate_source	generation_time_source
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	0	0.0	257748.2948	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	1	3794.9202	257748.2948	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	2	7864.6522	257748.2948	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	3	12228.60065	257748.2948	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	4	16908.268	753775.2026	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	5	21927.2545	753775.2026	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	6	27308.63595	456365.37655000004	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	7	33079.683750000004	456365.37655000004	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	8	39268.19375	387387.352525	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	9	45905.108499999995	387387.352525	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	10	53021.37055	408549.434475	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	11	60653.16695	408549.434475	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	12	68837.20920000001	416224.235775	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
