canonical_vgp_root	packet	source_row	job_id	job_name	partition	state	elapsed	elapsed_seconds	timelimit	allocated_cpus	requested_memory	max_rss	cpu_time_raw	total_cpu	exit_code	node_list	start	end	submit	failure_or_nonterminal
/moosefs/erikg/vgp	scale_vgp_real	1	1781897	vgp10-P03-preflight		FAILED	00:00:02	2	01:00:00	4	16G		8	00:00:00	1:0	octopus07	2026-07-19T07:14:18	2026-07-19T07:14:20	2026-07-19T07:14:18	true
/moosefs/erikg/vgp	scale_vgp_real	2	1781898	vgp10-P03-mapping		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:18	true
/moosefs/erikg/vgp	scale_vgp_real	3	1781899	vgp10-P03-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:18	true
/moosefs/erikg/vgp	scale_vgp_real	4	1781900	vgp10-P03-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:18	true
/moosefs/erikg/vgp	scale_vgp_real	5	1781901	vgp10-P03-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:18	true
/moosefs/erikg/vgp	scale_vgp_real	6	1781903	vgp10-P03-finalize		CANCELLED by 1001	00:00:00	0	02:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:18	true
/moosefs/erikg/vgp	scale_vgp_real	7	1781902	vgp10-P03-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:18	true
/moosefs/erikg/vgp	scale_vgp_real	8	1781904	vgp10-P04-preflight		FAILED	00:00:01	1	01:00:00	4	16G		4	00:00:00	1:0	octopus07	2026-07-19T07:14:21	2026-07-19T07:14:22	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	9	1781905	vgp10-P04-mapping		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	10	1781906	vgp10-P04-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	11	1781907	vgp10-P04-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	12	1781908	vgp10-P04-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	13	1781910	vgp10-P04-finalize		CANCELLED by 1001	00:00:00	0	02:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	14	1781911	vgp10-P08-preflight		FAILED	00:00:01	1	01:00:00	4	16G		4	00:00:00	1:0	octopus07	2026-07-19T07:14:21	2026-07-19T07:14:22	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	15	1781912	vgp10-P08-mapping		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	16	1781913	vgp10-P08-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	17	1781914	vgp10-P08-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	18	1781915	vgp10-P08-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	19	1781917	vgp10-P08-finalize		CANCELLED by 1001	00:00:00	0	02:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	20	1781918	vgp10-P08-annotation		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	21	1781909	vgp10-P04-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	22	1781916	vgp10-P08-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:15:34	2026-07-19T07:14:19	true
/moosefs/erikg/vgp	scale_vgp_real	23	1781919	vgp10-P03-preflight		COMPLETED	00:01:11	71	01:00:00	4	16G		284	00:00:00	0:0	octopus07	2026-07-19T07:16:06	2026-07-19T07:17:17	2026-07-19T07:16:06	false
/moosefs/erikg/vgp	scale_vgp_real	24	1781920	vgp10-P03-mapping		FAILED	00:00:47	47	3-00:00:00	32	160G		1504	00:00:00	1:0	octopus09	2026-07-19T07:17:17	2026-07-19T07:18:04	2026-07-19T07:16:06	true
/moosefs/erikg/vgp	scale_vgp_real	25	1781921	vgp10-P03-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:16:06	true
/moosefs/erikg/vgp	scale_vgp_real	26	1781922	vgp10-P03-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:16:06	true
/moosefs/erikg/vgp	scale_vgp_real	27	1781923	vgp10-P03-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:16:06	true
/moosefs/erikg/vgp	scale_vgp_real	28	1781924	vgp10-P03-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:16:06	true
