row_type	candidate_id	scientific_name	pilot_selected	pilot_selection_group	assembly_composition_eligible	assembly_diversity_eligible	download_bytes_exact	persistent_storage_bytes_exact	core_hours_base	core_hours_high	peak_memory_gib_base	peak_memory_gib_high	wall_hours_base	wall_hours_high	scratch_gb_base	scratch_gb_high	inode_count_base	inode_count_high	moosefs_read_gb_base	moosefs_read_gb_high	moosefs_write_gb_base	moosefs_write_gb_high	metadata_operations_base	metadata_operations_high	formula_version	quota_state	gate_readiness
candidate	dasypus_novemcinctus_gca_030445035_2	Dasypus novemcinctus	no	UNASSIGNED	no	no	2181632614	2181632614	0.5923	2.5605	8.31	32.0	0.452	2.0076	17.2499	84.1713	1559	5196	18.7047	93.5237	0.1455	0.7274	12470	62349	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	jaculus_jaculus_gca_020740685_1	Jaculus jaculus	no	UNASSIGNED	no	no	1642022118	1642022118	0.5471	2.3648	7.68	30.71	0.4175	1.8542	15.9317	77.739	1440	4799	17.2753	86.3767	0.1344	0.6718	11517	57584	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	ochotona_princeps_gca_030435755_1	Ochotona princeps	no	UNASSIGNED	no	no	1395935286	1395935286	0.5641	2.4386	7.92	31.67	0.4305	1.9121	16.4291	80.1662	1485	4949	17.8147	89.0735	0.1386	0.6928	11876	59382	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	hippopotamus_amphibius_gca_030028045_1	Hippopotamus amphibius	no	UNASSIGNED	no	no	1571143187	1571143187	0.4204	1.8172	5.9	23.6	0.3208	1.4249	12.2425	59.7377	1106	3688	13.275	66.3752	0.1033	0.5163	8850	44250	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	camelus_dromedarius_gca_036321535_1	Camelus dromedarius	no	UNASSIGNED	no	no	1305801004	1305801004	0.3761	1.6259	5.28	21.12	0.287	1.2749	10.9538	53.4493	990	3299	11.8776	59.3881	0.0924	0.4619	7918	39592	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	diceros_bicornis_minor_gca_020826845_1	Diceros bicornis minor	no	UNASSIGNED	no	no	1813769467	1813769467	0.5121	2.2138	7.19	28.75	0.3908	1.7358	14.9145	72.7758	1348	4492	16.1724	80.862	0.1258	0.6289	10782	53908	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	manis_pentadactyla_gca_030020395_1	Manis pentadactyla	no	UNASSIGNED	no	no	1675078951	1675078951	0.4783	2.0676	6.71	26.85	0.365	1.6212	13.9294	67.9687	1259	4196	15.1042	75.5208	0.1175	0.5874	10069	50347	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	macropus_eugenii_gca_028372415_2	Macropus eugenii	no	UNASSIGNED	no	no	1094629825	1094629825	0.5468	2.3636	7.67	30.7	0.4173	1.8533	15.9236	77.6995	1439	4796	17.2666	86.3328	0.1343	0.6715	11511	57555	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	colius_striatus_gca_028858725_2	Colius striatus	no	UNASSIGNED	no	no	713759958	713759958	0.2329	1.0067	3.27	13.07	0.1777	0.7893	6.782	33.0929	613	2043	7.354	36.7699	0.0572	0.286	4903	24513	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	gavia_stellata_gca_030936135_1	Gavia stellata	no	UNASSIGNED	no	no	806453900	806453900	0.3423	1.4797	4.8	19.22	0.2612	1.1602	9.9685	48.6413	901	3003	10.8092	54.0459	0.0841	0.4204	7206	36031	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
