claim	source	reported	recomputed	absolute_difference	tolerance	status	definition
3A:menidia_menidia_fMenMen1:diploid_haplotype_diversity:coding_gene	fresh Tier 3A numerator and callable denominator	0.0138516971064	0.0138516971064166	1.66e-14	1e-12 relative/absolute	PASS	H1/H2 alternative-allele count divided by H1-native callable sites
3A:menidia_menidia_fMenMen1:diploid_haplotype_diversity:CDS	fresh Tier 3A numerator and callable denominator	0.00674736657941	0.00674736657940865	1.35e-15	1e-12 relative/absolute	PASS	H1/H2 alternative-allele count divided by H1-native callable sites
3A:menidia_menidia_fMenMen1:pi_S_reference_conditioned:fourfold_CDS_reference_S	fresh Tier 3A numerator and callable denominator	0.0161727646815	0.016172764681489	1.1e-14	1e-12 relative/absolute	PASS	H1/H2 alternative-allele count divided by H1-native callable sites
3A:menidia_menidia_fMenMen1:pi_W_reference_conditioned:fourfold_CDS_reference_W	fresh Tier 3A numerator and callable denominator	0.0240471604506	0.0240471604505924	7.58e-15	1e-12 relative/absolute	PASS	H1/H2 alternative-allele count divided by H1-native callable sites
3A:spinachia_spinachia_SK-2024b:diploid_haplotype_diversity:coding_gene	fresh Tier 3A numerator and callable denominator	0.000397956988928	0.000397956988927578	4.22e-16	1e-12 relative/absolute	PASS	H1/H2 alternative-allele count divided by H1-native callable sites
3A:spinachia_spinachia_SK-2024b:diploid_haplotype_diversity:CDS	fresh Tier 3A numerator and callable denominator	0.000232752314592	0.000232752314592462	4.62e-16	1e-12 relative/absolute	PASS	H1/H2 alternative-allele count divided by H1-native callable sites
3A:spinachia_spinachia_SK-2024b:pi_S_reference_conditioned:fourfold_CDS_reference_S	fresh Tier 3A numerator and callable denominator	0.000357602631955	0.000357602631955371	3.71e-16	1e-12 relative/absolute	PASS	H1/H2 alternative-allele count divided by H1-native callable sites
3A:spinachia_spinachia_SK-2024b:pi_W_reference_conditioned:fourfold_CDS_reference_W	fresh Tier 3A numerator and callable denominator	0.00112829362182	0.00112829362182253	2.53e-15	1e-12 relative/absolute	PASS	H1/H2 alternative-allele count divided by H1-native callable sites
3A:tautogolabrus_adspersus_fTauAds1:diploid_haplotype_diversity:coding_gene	fresh Tier 3A numerator and callable denominator	0.00167798634078	0.0016779863407848	4.8e-15	1e-12 relative/absolute	PASS	H1/H2 alternative-allele count divided by H1-native callable sites
3A:tautogolabrus_adspersus_fTauAds1:diploid_haplotype_diversity:CDS	fresh Tier 3A numerator and callable denominator	0.000515956516082	0.00051595651608214	1.4e-16	1e-12 relative/absolute	PASS	H1/H2 alternative-allele count divided by H1-native callable sites
3A:tautogolabrus_adspersus_fTauAds1:pi_S_reference_conditioned:fourfold_CDS_reference_S	fresh Tier 3A numerator and callable denominator	0.00138803207896	0.0013880320789636	3.6e-15	1e-12 relative/absolute	PASS	H1/H2 alternative-allele count divided by H1-native callable sites
3A:tautogolabrus_adspersus_fTauAds1:pi_W_reference_conditioned:fourfold_CDS_reference_W	fresh Tier 3A numerator and callable denominator	0.00182565038795	0.00182565038795071	7.07e-16	1e-12 relative/absolute	PASS	H1/H2 alternative-allele count divided by H1-native callable sites
3B:ag1000g_phase3_ao_coluzzii:population_pi	fresh Tier 3B numerator and callable denominator	0.0123500335652395	0.0123500335652395	0	1e-12 relative/absolute	PASS	sum unbiased pairwise differences divided by callable sites
3B:ag1000g_phase3_ao_coluzzii:pi_S	fresh Tier 3B numerator and callable denominator	0.0207184768366458	0.0207184768366458	0	1e-12 relative/absolute	PASS	sum unbiased pairwise differences divided by callable sites
3B:ag1000g_phase3_ao_coluzzii:pi_W	fresh Tier 3B numerator and callable denominator	0.0278977988421709	0.0278977988421709	0	1e-12 relative/absolute	PASS	sum unbiased pairwise differences divided by callable sites
3B:ag1000g_phase3_ao_coluzzii:pi_S_over_pi_W	fresh Tier 3B numerator and callable denominator	0.74265632761418	0.74265632761418	0	1e-12 relative/absolute	PASS	(sum pairwise S differences/S callable 4D sites)/(sum pairwise W differences/W callable 4D sites)
3B:ag1000g_phase3_gm_coluzzii:population_pi	fresh Tier 3B numerator and callable denominator	0.015869794208397	0.015869794208397	0	1e-12 relative/absolute	PASS	sum unbiased pairwise differences divided by callable sites
3B:ag1000g_phase3_gm_coluzzii:pi_S	fresh Tier 3B numerator and callable denominator	0.0257076082957161	0.0257076082957161	0	1e-12 relative/absolute	PASS	sum unbiased pairwise differences divided by callable sites
3B:ag1000g_phase3_gm_coluzzii:pi_W	fresh Tier 3B numerator and callable denominator	0.0355295835740451	0.0355295835740451	0	1e-12 relative/absolute	PASS	sum unbiased pairwise differences divided by callable sites
3B:ag1000g_phase3_gm_coluzzii:pi_S_over_pi_W	fresh Tier 3B numerator and callable denominator	0.72355501274425	0.72355501274425	0	1e-12 relative/absolute	PASS	(sum pairwise S differences/S callable 4D sites)/(sum pairwise W differences/W callable 4D sites)
primary.gc3.across_class_fixed	independent NumPy least-squares reconstruction from committed point rows	0.00892005364537	0.0089200536453537	1.63e-14	1e-12 relative/absolute	PASS	class-fixed OLS coefficient using the named composition observable
sensitivity.whole_genome_gc.across_class_fixed	independent NumPy least-squares reconstruction from committed point rows	0.00536545909572	0.00536545909569043	2.96e-14	1e-12 relative/absolute	PASS	class-fixed OLS coefficient using the named composition observable
sensitivity.gc3.quadratic_concavity	independent NumPy least-squares reconstruction from committed point rows	0.0022556609473	0.00225566094728821	1.18e-14	1e-12 relative/absolute	PASS	class-fixed OLS coefficient using the named composition observable
