JobID|JobIDRaw|JobName|State|Reason|Elapsed|TotalCPU|MaxRSS|ReqMem|AllocCPUS|ExitCode
1761583|1761583|tier3b-independent|CANCELLED by 1001|Dependency|00:00:00|00:00:00||12G|0|0:0
1761582_0|1761584|tier3b-recovery|FAILED|None|00:00:23|00:00:00||12G|2|1:0
1761582_0.batch|1761584.batch|batch|FAILED||00:00:23|00:00:00|||2|1:0
1761582_1|1761582|tier3b-recovery|FAILED|JobArrayTaskLimit|00:00:20|00:00:00||12G|2|1:0
1761582_1.batch|1761582.batch|batch|FAILED||00:00:20|00:00:00|||2|1:0
1761586|1761586|tier3b-independent|CANCELLED by 1001|Dependency|00:00:00|00:00:00||12G|0|0:0
1761585_0|1761587|tier3b-recovery|CANCELLED by 1001|None|00:05:30|00:00:00||12G|2|0:0
1761585_0.batch|1761587.batch|batch|CANCELLED||00:05:30|00:00:00|||2|0:15
1761585_1|1761585|tier3b-recovery|CANCELLED by 1001|JobArrayTaskLimit|00:00:00|00:00:00||12G|0|0:0
1761589|1761589|tier3b-independent|COMPLETED|Dependency|00:04:22|00:00:00||12G|2|0:0
1761589.batch|1761589.batch|batch|COMPLETED||00:04:22|00:00:00|||2|0:0
1761588_0|1761590|tier3b-recovery|COMPLETED|None|00:08:13|00:00:00||12G|2|0:0
1761588_0.batch|1761590.batch|batch|COMPLETED||00:08:13|00:00:00|||2|0:0
1761588_1|1761588|tier3b-recovery|COMPLETED|JobArrayTaskLimit|00:08:01|00:00:00||12G|2|0:0
1761588_1.batch|1761588.batch|batch|COMPLETED||00:08:01|00:00:00|||2|0:0
1761722|1761722|tier3b-independent|COMPLETED|Dependency|00:01:53|00:00:00||12G|2|0:0
1761722.batch|1761722.batch|batch|COMPLETED||00:01:53|00:00:00|||2|0:0
1761721_0|1761723|tier3b-recovery|COMPLETED|None|01:45:39|00:00:00||12G|2|0:0
1761721_0.batch|1761723.batch|batch|COMPLETED||01:45:39|00:00:00|||2|0:0
1761721_1|1761721|tier3b-recovery|COMPLETED|JobArrayTaskLimit|01:43:17|00:00:00||12G|2|0:0
1761721_1.batch|1761721.batch|batch|COMPLETED||01:43:17|00:00:00|||2|0:0
