assembly_accession_version	binding_status	annotation_object_id	annotation_path	annotation_view_paths	annotation_accession_version	annotation_provider	annotation_format	annotation_feature_rows	assembly_bgzf_path	assembly_fai_path	accepted_candidate_count	reason
GCA_003287225.2	EXACT_DICTIONARY	9d1f921326f3e9dfa6bd8e99c0ddee757c9ef679e4633b412dfb36a93ab87db5	/moosefs/erikg/vgp/freeze1/objects/GCA/003/287/225/GCA_003287225.2/genes/GCA_003287225.2_phaCin_HiC.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	461619	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/003/287/225/GCA_003287225.2/GCA_003287225.2.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/003/287/225/GCA_003287225.2/GCA_003287225.2.fa.gz.fai	2	all 202 annotation sequence names and lengths match the target FAI
GCA_005190385.3	EXACT_DICTIONARY	f3d8fbc66502a10b32b5a0a5f43399a089153ec321268969c1ff73c42ae8f5ed	/moosefs/erikg/vgp/freeze1/objects/GCA/005/190/385/GCA_005190385.3/genes/GCA_005190385.3_NGI_Narwhal_2.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	577282	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/005/190/385/GCA_005190385.3/GCA_005190385.3.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/005/190/385/GCA_005190385.3/GCA_005190385.3.fa.gz.fai	2	all 40 annotation sequence names and lengths match the target FAI
GCA_008658365.1	EXACT_DICTIONARY	734fcf05f664e6b4f80b03cf9a5c139954d281575e3411056c5da9e598607ec1	/moosefs/erikg/vgp/objects/sha256/73/4f/734fcf05f664e6b4f80b03cf9a5c139954d281575e3411056c5da9e598607ec1	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_008658365.1/GCA_008658365.1-GB_2025_12_03/GCA_008658365.1_bAlcTor1_primary_genomic.gff.gz""]"	GCA_008658365.1-GB_2025_12_03	Vertebrate Genome Laboratory	GFF3	1127185	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/008/658/365/GCA_008658365.1/GCA_008658365.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/008/658/365/GCA_008658365.1/GCA_008658365.1.fa.gz.fai	3	all 95 annotation sequence names and lengths match the target FAI
GCA_009764595.1	EXACT_DICTIONARY	89b02c1d7f7a93755312e4d1b14093953f1767327d85762c1176eccee5a2a34f	/moosefs/erikg/vgp/objects/sha256/89/b0/89b02c1d7f7a93755312e4d1b14093953f1767327d85762c1176eccee5a2a34f	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_009764595.1/GCA_009764595.1-GB_2025_08_09/GCA_009764595.1_bGeoTri1.pri_genomic.gff.gz""]"	GCA_009764595.1-GB_2025_08_09	GenBank submitter	GFF3	881111	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/764/595/GCA_009764595.1/GCA_009764595.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/764/595/GCA_009764595.1/GCA_009764595.1.fa.gz.fai	3	all 278 annotation sequence names and lengths match the target FAI
GCA_009769465.1	EXACT_DICTIONARY	bcbe46568ad81e8a1b479d610d17c141f9e84a416cb6e8d16d4b7ed4542dc7f2	/moosefs/erikg/vgp/objects/sha256/bc/be/bcbe46568ad81e8a1b479d610d17c141f9e84a416cb6e8d16d4b7ed4542dc7f2	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_009769465.1/GCA_009769465.1-GB_2026_01_30/GCA_009769465.1_bTauEry1.pri_genomic.gff.gz""]"	GCA_009769465.1-GB_2026_01_30	Vertebrate Genome Laboratory	GFF3	520921	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/465/GCA_009769465.1/GCA_009769465.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/465/GCA_009769465.1/GCA_009769465.1.fa.gz.fai	3	all 140 annotation sequence names and lengths match the target FAI
GCA_009769525.1	EXACT_DICTIONARY	b8f588c14e9c860b39895d1e07494a8accc9971e4dc7e8bb7b1410bc14d4a0e6	/moosefs/erikg/vgp/objects/sha256/b8/f5/b8f588c14e9c860b39895d1e07494a8accc9971e4dc7e8bb7b1410bc14d4a0e6	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_009769525.1/GCA_009769525.1-GB_2025_12_03/GCA_009769525.1_bPteGut1.pri_genomic.gff.gz""]"	GCA_009769525.1-GB_2025_12_03	Vertebrate Genome Laboratory	GFF3	521548	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/525/GCA_009769525.1/GCA_009769525.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/525/GCA_009769525.1/GCA_009769525.1.fa.gz.fai	3	all 89 annotation sequence names and lengths match the target FAI
GCA_009769605.1	EXACT_DICTIONARY	9aaab2aa814ff7dfa67a5ffd541d53dd647884487650205c19bb9d0840a5af2c	/moosefs/erikg/vgp/objects/sha256/9a/aa/9aaab2aa814ff7dfa67a5ffd541d53dd647884487650205c19bb9d0840a5af2c	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_009769605.1/GCA_009769605.1-GB_2026_01_18/GCA_009769605.1_bBucAby1.pri_genomic.gff.gz""]"	GCA_009769605.1-GB_2026_01_18	Vertebrate Genome Laboratory	GFF3	508841	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/605/GCA_009769605.1/GCA_009769605.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/605/GCA_009769605.1/GCA_009769605.1.fa.gz.fai	3	all 112 annotation sequence names and lengths match the target FAI
GCA_009819595.1	EXACT_DICTIONARY	badf08827ceb365d48b8a4171f9eb23f01d714eae87543f7b10d43d094499a0e	/moosefs/erikg/vgp/objects/sha256/ba/df/badf08827ceb365d48b8a4171f9eb23f01d714eae87543f7b10d43d094499a0e	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_009819595.1/GCA_009819595.1-GB_2026_01_22/GCA_009819595.1_bMerNub1.pri_genomic.gff.gz""]"	GCA_009819595.1-GB_2026_01_22	Vertebrate Genome Laboratory	GFF3	500792	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/595/GCA_009819595.1/GCA_009819595.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/595/GCA_009819595.1/GCA_009819595.1.fa.gz.fai	3	all 109 annotation sequence names and lengths match the target FAI
GCA_009819605.1	EXACT_DICTIONARY	2f55f00380f27d94b7fbba42627e83f00c474764d5130a23ca2962616ad357ab	/moosefs/erikg/vgp/freeze1/objects/GCA/009/819/605/GCA_009819605.1/genes/GCA_009819605.1_bSteHir1.pri.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	287924	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/605/GCA_009819605.1/GCA_009819605.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/605/GCA_009819605.1/GCA_009819605.1.fa.gz.fai	2	all 104 annotation sequence names and lengths match the target FAI
GCA_009819775.1	EXACT_DICTIONARY	8730483ed805415983442506fa0ba964bed450372809cc4599f03c7fac40f477	/moosefs/erikg/vgp/objects/sha256/87/30/8730483ed805415983442506fa0ba964bed450372809cc4599f03c7fac40f477	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_009819775.1/GCA_009819775.1-GB_2025_12_04/GCA_009819775.1_bPhoRub2.pri_genomic.gff.gz""]"	GCA_009819775.1-GB_2025_12_04	Vertebrate Genome Laboratory	GFF3	614785	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/775/GCA_009819775.1/GCA_009819775.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/775/GCA_009819775.1/GCA_009819775.1.fa.gz.fai	3	all 90 annotation sequence names and lengths match the target FAI
