dataset_id	scientific_name	annotation_class	statistic_label	scope_label	sweepga_hit_cap_query	sweepga_hit_cap_target	sweepga_mapping_provenance	impg_index_provenance	impg_partition_provenance	impg_query_provenance	eligible_haplotypes	variant_numerator	callable_denominator	estimate	bootstrap_blocks	bootstrap_replicates	bootstrap_ci_low	bootstrap_ci_high	bootstrap_standard_error	targeted_genes	panel_selected_genes	sweepga_queryable_genes	impg_queryable_genes	excluded_genes	targeted_bases	panel_selected_bases	sweepga_queryable_bases	impg_callable_bases	exclusions_json	feature_identity_provenance	transcript_phase_provenance	biological_input
menidia_menidia_fMenMen1	Menidia menidia	coding_gene	diploid_haplotype_diversity	biological_coding_annotation_panel_not_genome_wide	1	1	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/mapping/production.1to1.paf	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/graph.impg	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/partitions/partitions.bed;impg partition -w 2000 -d 0	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/focus.bed;impg query -d 0 -o vcf:poa --force-large-region --min-transitive-len 1	2	28233	2038234	0.0138516971064	181	1000	0.0123544674925	0.015340374266	0.000762130632345	22548	157	20953	157	1595	364299923	2038234	2038234	2038234	"{""non_acgt_or_nonclass_panel_bases"":0,""outside_deterministic_panel_genes"":22391,""phase_qc"":{""eligible_transcripts"":299,""frame_discordant_overlap_positions"":1364},""sweepga_1to1_excluded_or_partial_target_genes"":1595,""sweepga_1to1_lost_panel_bases"":0,""sweepga_1to1_target_gene_lost_bases"":19170314}"	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/native_annotation/impg_query_manifest.tsv	native_GFF_CDS_transcript_identity_and_phase_chain_preserved	yes
menidia_menidia_fMenMen1	Menidia menidia	CDS	diploid_haplotype_diversity	biological_coding_annotation_panel_not_genome_wide	1	1	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/mapping/production.1to1.paf	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/graph.impg	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/partitions/partitions.bed;impg partition -w 2000 -d 0	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/focus.bed;impg query -d 0 -o vcf:poa --force-large-region --min-transitive-len 1	2	2044	302933	0.00674736657941	168	1000	0.00589924957811	0.00776834805264	0.000476757084121	22548	157	20953	157	1595	364299923	2038234	2038234	302933	"{""non_acgt_or_nonclass_panel_bases"":1735301,""outside_deterministic_panel_genes"":22391,""phase_qc"":{""eligible_transcripts"":299,""frame_discordant_overlap_positions"":1364},""sweepga_1to1_excluded_or_partial_target_genes"":1595,""sweepga_1to1_lost_panel_bases"":0,""sweepga_1to1_target_gene_lost_bases"":19170314}"	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/native_annotation/impg_query_manifest.tsv	native_GFF_CDS_transcript_identity_and_phase_chain_preserved	yes
menidia_menidia_fMenMen1	Menidia menidia	fourfold_CDS_reference_S	pi_S_reference_conditioned	biological_coding_annotation_panel_not_genome_wide	1	1	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/mapping/production.1to1.paf	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/graph.impg	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/partitions/partitions.bed;impg partition -w 2000 -d 0	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/focus.bed;impg query -d 0 -o vcf:poa --force-large-region --min-transitive-len 1	2	507	31349	0.0161727646815	168	1000	0.0139635814699	0.0185233841303	0.00114476205154	22548	157	20953	157	1595	364299923	2038234	2038234	31349	"{""non_acgt_or_nonclass_panel_bases"":2006885,""outside_deterministic_panel_genes"":22391,""phase_qc"":{""eligible_transcripts"":299,""frame_discordant_overlap_positions"":1364},""sweepga_1to1_excluded_or_partial_target_genes"":1595,""sweepga_1to1_lost_panel_bases"":0,""sweepga_1to1_target_gene_lost_bases"":19170314}"	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/native_annotation/impg_query_manifest.tsv	native_GFF_CDS_transcript_identity_and_phase_chain_preserved	yes
menidia_menidia_fMenMen1	Menidia menidia	fourfold_CDS_reference_W	pi_W_reference_conditioned	biological_coding_annotation_panel_not_genome_wide	1	1	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/mapping/production.1to1.paf	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/graph.impg	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/partitions/partitions.bed;impg partition -w 2000 -d 0	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/focus.bed;impg query -d 0 -o vcf:poa --force-large-region --min-transitive-len 1	2	412	17133	0.0240471604506	168	1000	0.0198535994523	0.028926165632	0.00225025933732	22548	157	20953	157	1595	364299923	2038234	2038234	17133	"{""non_acgt_or_nonclass_panel_bases"":2021101,""outside_deterministic_panel_genes"":22391,""phase_qc"":{""eligible_transcripts"":299,""frame_discordant_overlap_positions"":1364},""sweepga_1to1_excluded_or_partial_target_genes"":1595,""sweepga_1to1_lost_panel_bases"":0,""sweepga_1to1_target_gene_lost_bases"":19170314}"	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/native_annotation/impg_query_manifest.tsv	native_GFF_CDS_transcript_identity_and_phase_chain_preserved	yes
spinachia_spinachia_SK-2024b	Spinachia spinachia	coding_gene	diploid_haplotype_diversity	biological_coding_annotation_panel_not_genome_wide	1	1	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/mapping/production.1to1.paf	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/graph.impg	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/partitions/partitions.bed;impg partition -w 2000 -d 0	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/focus.bed;impg query -d 0 -o vcf:poa --force-large-region --min-transitive-len 1	2	803	2017806	0.000397956988928	155	1000	0.000329512030591	0.000481234940521	3.90245148726e-05	20772	150	20491	150	281	275623286	2018006	2018006	2017806	"{""non_acgt_or_nonclass_panel_bases"":200,""outside_deterministic_panel_genes"":20622,""phase_qc"":{""eligible_transcripts"":369,""frame_discordant_overlap_positions"":1204},""sweepga_1to1_excluded_or_partial_target_genes"":281,""sweepga_1to1_lost_panel_bases"":0,""sweepga_1to1_target_gene_lost_bases"":3031505}"	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/native_annotation/impg_query_manifest.tsv	native_GFF_CDS_transcript_identity_and_phase_chain_preserved	yes
spinachia_spinachia_SK-2024b	Spinachia spinachia	CDS	diploid_haplotype_diversity	biological_coding_annotation_panel_not_genome_wide	1	1	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/mapping/production.1to1.paf	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/graph.impg	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/partitions/partitions.bed;impg partition -w 2000 -d 0	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/focus.bed;impg query -d 0 -o vcf:poa --force-large-region --min-transitive-len 1	2	63	270674	0.000232752314592	151	1000	0.000148300293264	0.000338608430978	4.81023170404e-05	20772	150	20491	150	281	275623286	2018006	2018006	270674	"{""non_acgt_or_nonclass_panel_bases"":1747332,""outside_deterministic_panel_genes"":20622,""phase_qc"":{""eligible_transcripts"":369,""frame_discordant_overlap_positions"":1204},""sweepga_1to1_excluded_or_partial_target_genes"":281,""sweepga_1to1_lost_panel_bases"":0,""sweepga_1to1_target_gene_lost_bases"":3031505}"	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/native_annotation/impg_query_manifest.tsv	native_GFF_CDS_transcript_identity_and_phase_chain_preserved	yes
spinachia_spinachia_SK-2024b	Spinachia spinachia	fourfold_CDS_reference_S	pi_S_reference_conditioned	biological_coding_annotation_panel_not_genome_wide	1	1	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/mapping/production.1to1.paf	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/graph.impg	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/partitions/partitions.bed;impg partition -w 2000 -d 0	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/focus.bed;impg query -d 0 -o vcf:poa --force-large-region --min-transitive-len 1	2	10	27964	0.000357602631955	151	1000	0.000164020469755	0.000597704813516	0.00011191277521	20772	150	20491	150	281	275623286	2018006	2018006	27964	"{""non_acgt_or_nonclass_panel_bases"":1990042,""outside_deterministic_panel_genes"":20622,""phase_qc"":{""eligible_transcripts"":369,""frame_discordant_overlap_positions"":1204},""sweepga_1to1_excluded_or_partial_target_genes"":281,""sweepga_1to1_lost_panel_bases"":0,""sweepga_1to1_target_gene_lost_bases"":3031505}"	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/native_annotation/impg_query_manifest.tsv	native_GFF_CDS_transcript_identity_and_phase_chain_preserved	yes
spinachia_spinachia_SK-2024b	Spinachia spinachia	fourfold_CDS_reference_W	pi_W_reference_conditioned	biological_coding_annotation_panel_not_genome_wide	1	1	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/mapping/production.1to1.paf	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/graph.impg	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/partitions/partitions.bed;impg partition -w 2000 -d 0	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/focus.bed;impg query -d 0 -o vcf:poa --force-large-region --min-transitive-len 1	2	17	15067	0.00112829362182	151	1000	0.000351172917545	0.00239323909954	0.000563128073625	20772	150	20491	150	281	275623286	2018006	2018006	15067	"{""non_acgt_or_nonclass_panel_bases"":2002939,""outside_deterministic_panel_genes"":20622,""phase_qc"":{""eligible_transcripts"":369,""frame_discordant_overlap_positions"":1204},""sweepga_1to1_excluded_or_partial_target_genes"":281,""sweepga_1to1_lost_panel_bases"":0,""sweepga_1to1_target_gene_lost_bases"":3031505}"	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/native_annotation/impg_query_manifest.tsv	native_GFF_CDS_transcript_identity_and_phase_chain_preserved	yes
tautogolabrus_adspersus_fTauAds1	Tautogolabrus adspersus	coding_gene	diploid_haplotype_diversity	biological_coding_annotation_panel_not_genome_wide	1	1	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/mapping/production.1to1.paf	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/tautogolabrus_adspersus_fTauAds1/graph.impg	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/tautogolabrus_adspersus_fTauAds1/partitions/partitions.bed;impg partition -w 2000 -d 0	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/tautogolabrus_adspersus_fTauAds1/focus.bed;impg query -d 0 -o vcf:poa --force-large-region --min-transitive-len 1	2	3551	2116227	0.00167798634078	150	1000	0.0012383458612	0.00212181464669	0.000223218127863	21614	123	20167	123	1447	441517395	2116227	2116227	2116227	"{""non_acgt_or_nonclass_panel_bases"":0,""outside_deterministic_panel_genes"":21491,""phase_qc"":{""eligible_transcripts"":167,""frame_discordant_overlap_positions"":116},""sweepga_1to1_excluded_or_partial_target_genes"":1447,""sweepga_1to1_lost_panel_bases"":0,""sweepga_1to1_target_gene_lost_bases"":17444631}"	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/tautogolabrus_adspersus_fTauAds1/native_annotation/impg_query_manifest.tsv	native_GFF_CDS_transcript_identity_and_phase_chain_preserved	yes
tautogolabrus_adspersus_fTauAds1	Tautogolabrus adspersus	CDS	diploid_haplotype_diversity	biological_coding_annotation_panel_not_genome_wide	1	1	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/mapping/production.1to1.paf	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/tautogolabrus_adspersus_fTauAds1/graph.impg	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/tautogolabrus_adspersus_fTauAds1/partitions/partitions.bed;impg partition -w 2000 -d 0	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/tautogolabrus_adspersus_fTauAds1/focus.bed;impg query -d 0 -o vcf:poa --force-large-region --min-transitive-len 1	2	115	222887	0.000515956516082	141	1000	0.000344761351267	0.000713812505249	9.67558879948e-05	21614	123	20167	123	1447	441517395	2116227	2116227	222887	"{""non_acgt_or_nonclass_panel_bases"":1893340,""outside_deterministic_panel_genes"":21491,""phase_qc"":{""eligible_transcripts"":167,""frame_discordant_overlap_positions"":116},""sweepga_1to1_excluded_or_partial_target_genes"":1447,""sweepga_1to1_lost_panel_bases"":0,""sweepga_1to1_target_gene_lost_bases"":17444631}"	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/tautogolabrus_adspersus_fTauAds1/native_annotation/impg_query_manifest.tsv	native_GFF_CDS_transcript_identity_and_phase_chain_preserved	yes
