task_index	inventory_id	accession_version	source_relative_path	source_path	source_format	source_bytes	source_compressed_sha256	mirror_state	derived_relative_path	resource_class	cpus	memory_mb	scratch_bytes	walltime	state	reason_code	attempts	derived_path	gzi_path	fai_path	provenance_path	source_decompressed_sha256	source_decompressed_bytes	sequence_count	names_lengths_sha256	derived_bgzf_sha256	derived_bgzf_bytes	gzi_sha256	gzi_bytes	fai_sha256	fai_bytes	compression_ratio	elapsed_seconds	cpu_seconds	peak_memory_bytes	peak_scratch_bytes	random_access_probe_count	bgzf_block_count	updated_at_utc
0	81d4900c39453a98921984ad3a27b02095272f97fb1c8791dc8002ef17394c71	GCA_003287225.2	GCA/003/287/225/GCA_003287225.2/GCA_003287225.2.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/003/287/225/GCA_003287225.2/GCA_003287225.2.fa.gz	gzip	1076113977	f3c33b53d2e5ed586bdf8e36720d228301fa21d8fe525dc22923c0844d01cd1e	verified	objects/GCA/003/287/225/GCA_003287225.2/GCA_003287225.2.fa.gz	medium	6	16384	8589934592	08:00:00	converted	STREAM_CONVERTED_VERIFIED	1	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/003/287/225/GCA_003287225.2/GCA_003287225.2.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/003/287/225/GCA_003287225.2/GCA_003287225.2.fa.gz.gzi	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/003/287/225/GCA_003287225.2/GCA_003287225.2.fa.gz.fai	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/003/287/225/GCA_003287225.2/provenance.json	12836504c5a132acf7ab7985f698189bd42b5f6c85288e1cc7b7a5159f17e08e	3256505118	1246	6dd80d5ec0414b6ec85e6f46373732d0e0276b65bb0542153027f2e142706dfa	0ca1e242256036203882dc300ed56e8df638b720e97bddb5962ea1203f650850	1100366509	cd1345d3fb1a05feca40e440ada4724b317301689853408b58b96e1e36d9f85b	798168	12e518092e50cdf5b244b130ee230b45722c0970143729a988cfbcc8a694913f	47157	0.3378979823854218	212.844884	674.107215	38559744	1101237905	3	49887	2026-07-19T17:42:15.822650Z
1	76ccecb5482fb88e16231d1822461bc573c3618b6673f8ccda9a1ab7548f1056	GCA_005190385.3	GCA/005/190/385/GCA_005190385.3/GCA_005190385.3.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/005/190/385/GCA_005190385.3/GCA_005190385.3.fa.gz	gzip	772784388	8ec49bb20e35c061eb857c675ea6212933f19039f1552eb86017a2913cac01f7	verified	objects/GCA/005/190/385/GCA_005190385.3/GCA_005190385.3.fa.gz	small	4	8192	4294967296	04:00:00	converted	STREAM_CONVERTED_VERIFIED	1	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/005/190/385/GCA_005190385.3/GCA_005190385.3.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/005/190/385/GCA_005190385.3/GCA_005190385.3.fa.gz.gzi	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/005/190/385/GCA_005190385.3/GCA_005190385.3.fa.gz.fai	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/005/190/385/GCA_005190385.3/provenance.json	0650276019630caf584b05d703fbf487a6321d4e732c42d599dd74904e493b13	2388795358	101	12e5d35d0110fcaa4f20ee934cc061193d6c066c29ed36b4bc1eacdcd82ededf	b05038bd7c5cc68f639ae56ba7072c7712419fc88bd53a3c63f0131c650e7240	790687286	24c66ec48cc1b5b5c8bc538d5bb8b0fbc32c87331bed8802ee3cb535f357c931	585496	04752261b8687369b9551708cf72790cfff2fe1948647e6e3a3c47c88c9dc4d2	3926	0.33099833493564584	204.846321	495.448358	38895616	791279019	3	36595	2026-07-19T15:51:24.517930Z
2	7034052d5f2c600df8d586408211112e38f65d84cb406a3a7027cbc27afefbdf	GCA_008658365.1	GCA/008/658/365/GCA_008658365.1/GCA_008658365.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/008/658/365/GCA_008658365.1/GCA_008658365.1.fa.gz	gzip	394060754	c0ed25ef5832c6560960fd99c2596809dd5e7c0cf5879ced79e4b14cbb582358	verified	objects/GCA/008/658/365/GCA_008658365.1/GCA_008658365.1.fa.gz	small	4	8192	4294967296	04:00:00	converted	STREAM_CONVERTED_VERIFIED	1	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/008/658/365/GCA_008658365.1/GCA_008658365.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/008/658/365/GCA_008658365.1/GCA_008658365.1.fa.gz.gzi	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/008/658/365/GCA_008658365.1/GCA_008658365.1.fa.gz.fai	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/008/658/365/GCA_008658365.1/provenance.json	c21a91369610a30e862d0d0882752d97831151f6b16b3001f50b48cd96680579	1202063875	95	fe595e94c26172cb841a1b0c6a706cfc8cabe7ab301497d950dc6ac9ceef93d3	b049d2352be3fa798bab0ac9d7b3923c67921b765b3cd031717597dd31b95a29	401990336	87bd55beba863ff3ac72ae031ef1f1a56e7d469055dee4a4af1b897f2dfb4bd7	294616	c30d283dfe2fdb97e337fb9ed0bc5cf6ea8e79fd5b4654d6b0491a1ee4a75da0	3570	0.33441678463218105	113.715617	251.785759	39321600	402290576	3	18415	2026-07-19T15:49:53.386357Z
3	05c6aaacfdd15df83ed64a372cda76d4f3084a7dc3532cafebcce5066d6aba30	GCA_009764595.1	GCA/009/764/595/GCA_009764595.1/GCA_009764595.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/009/764/595/GCA_009764595.1/GCA_009764595.1.fa.gz	gzip	352270621	3cd82418e161f965dc2029ae80647bf14c50b4515f0c673ede3fa4695affcec9	verified	objects/GCA/009/764/595/GCA_009764595.1/GCA_009764595.1.fa.gz	small	4	8192	4294967296	04:00:00	converted	STREAM_CONVERTED_VERIFIED	1	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/764/595/GCA_009764595.1/GCA_009764595.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/764/595/GCA_009764595.1/GCA_009764595.1.fa.gz.gzi	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/764/595/GCA_009764595.1/GCA_009764595.1.fa.gz.fai	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/764/595/GCA_009764595.1/provenance.json	e3821f21f6393eef186a993246aa1251f5726a978c87d102a8181949506165fe	1099695513	278	7ca01ec4fb643c532bf26aa67977c84c84ec35f799855afd2ed50c2fd252af57	7eb18bfa340969144ed851b929a0b0a4e219699f77ac02ede9a9c24a14c59983	358935447	32784a9ee0229f1b8f4bcef695e09eada34e24ced07de2c014ead5ae0f2c3fd8	269528	9cce50c817679f18f0b0848844d2bcbf51cc2e2436dc5bfc4fef2e94d6dda7d3	10507	0.32639530011431445	104.608761	224.695076	39063552	359221382	3	16847	2026-07-19T15:49:44.280099Z
4	137d7b9c2c8847ef72387c26917bb8bcd76f1fdbf4f7565059ff464cfaf31851	GCA_009769465.1	GCA/009/769/465/GCA_009769465.1/GCA_009769465.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/009/769/465/GCA_009769465.1/GCA_009769465.1.fa.gz	gzip	411294660	7fa73a7aebb77e3413990e3f92d1d35d4a19784b630b0d5aa0bc44e22c708b67	verified	objects/GCA/009/769/465/GCA_009769465.1/GCA_009769465.1.fa.gz	small	4	8192	4294967296	04:00:00	converted	STREAM_CONVERTED_VERIFIED	1	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/465/GCA_009769465.1/GCA_009769465.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/465/GCA_009769465.1/GCA_009769465.1.fa.gz.gzi	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/465/GCA_009769465.1/GCA_009769465.1.fa.gz.fai	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/465/GCA_009769465.1/provenance.json	bd70fac714c7e48ef6295c50f01f5546ab2911415a36f8bf6687effef98090c4	1277319169	140	4e74de5d5635da14208f1b24bb9e4a2b9af7cc19917241950bb8b18c75cc1ba0	4b2879f3eb8701019cdc4d07f97558e7f7845f22a9d419927e035320efa329dc	419754569	b62bb6d755302c4b17d5c9622afed8b15fcb3502b9df0a57819911cc571b514a	313064	a1e2bcf9053d50ad8847d768449d732be7139ce79f0e9724e71be06c3c97336f	5292	0.328621521689541	116.340561	262.555917	38993920	420075941	3	19568	2026-07-19T15:49:56.010849Z
5	659e66a9314d97c75d7af932511d9ea888e8a6c66b9c619e52a1bafe7c42dc53	GCA_009769525.1	GCA/009/769/525/GCA_009769525.1/GCA_009769525.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/009/769/525/GCA_009769525.1/GCA_009769525.1.fa.gz	gzip	376072972	11f2a1c7425e42dddf252f0e7550f8d7600b7541e1b4a6e44e2c80253ca97681	verified	objects/GCA/009/769/525/GCA_009769525.1/GCA_009769525.1.fa.gz	small	4	8192	4294967296	04:00:00	converted	STREAM_CONVERTED_VERIFIED	1	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/525/GCA_009769525.1/GCA_009769525.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/525/GCA_009769525.1/GCA_009769525.1.fa.gz.gzi	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/525/GCA_009769525.1/GCA_009769525.1.fa.gz.fai	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/525/GCA_009769525.1/provenance.json	1b0667910c52b5bb8673403bb0e1c4e004ccf8e7dfa387e962e2ff42fe039dfe	1149972526	89	3a39f9b4f89ab347312db7bf303dbd39082ded856dcb72024173a68d0135ace1	a07b1e6be54a9ee8b8b35fc092cb90de6095e70f4d70a70f982f05a8a1291ca8	383568788	ed7226d49d4739d8f8f89aec94cfd241814aee1825c23bb70ba2dfafdedf495a	281864	af534674f799d0f4dbe01f016c88e3923617aad9c7261eed24814cef34f8b461	3314	0.33354604508177615	107.482981	240.369714	38895616	383855884	3	17618	2026-07-19T15:49:47.159311Z
6	e4b30fec7ca1d4172f03998acee3beed47afafe1ec03b5675aab95064b3d053a	GCA_009769605.1	GCA/009/769/605/GCA_009769605.1/GCA_009769605.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/009/769/605/GCA_009769605.1/GCA_009769605.1.fa.gz	gzip	377411583	b58f257c9eecc98606c058651798666b87a7e28b76b2d4af237a84f23749cfb3	verified	objects/GCA/009/769/605/GCA_009769605.1/GCA_009769605.1.fa.gz	small	4	8192	4294967296	04:00:00	converted	STREAM_CONVERTED_VERIFIED	1	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/605/GCA_009769605.1/GCA_009769605.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/605/GCA_009769605.1/GCA_009769605.1.fa.gz.gzi	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/605/GCA_009769605.1/GCA_009769605.1.fa.gz.fai	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/769/605/GCA_009769605.1/provenance.json	9530f1f9c7848ee8aa40075b489f45f101a8bdf5a37c4c7f4403684dff423684	1155251197	112	0d9766ed13d4f41cea3fe1ea85483fac4f09dc99c5c3fb76927e66ee8ff38cf8	addd1af2463a6496b287eb19b3d01af8dcdfa207d24d0bedc1c17bea97ce31a0	384827483	66d99eab154fff320c40fe9537e342bb26f11d75a21b6ab3b72ded554c445200	283144	bde7d405ae73e21284b027c59ffae7efbafcebb74914454204819e7f17be6d82	4190	0.33311152067994787	98.41356	239.767975	39071744	385117221	3	17698	2026-07-19T15:51:26.680983Z
7	34725ba8813150570d1afdb0930626841795307492d1b5be3c5085d2a308fbec	GCA_009819595.1	GCA/009/819/595/GCA_009819595.1/GCA_009819595.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/009/819/595/GCA_009819595.1/GCA_009819595.1.fa.gz	gzip	381594146	8129edec6a50cc05e7fec17f2156e39808f02f78fdf4e26417693bdc83d7c187	verified	objects/GCA/009/819/595/GCA_009819595.1/GCA_009819595.1.fa.gz	small	4	8192	4294967296	04:00:00	converted	STREAM_CONVERTED_VERIFIED	1	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/595/GCA_009819595.1/GCA_009819595.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/595/GCA_009819595.1/GCA_009819595.1.fa.gz.gzi	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/595/GCA_009819595.1/GCA_009819595.1.fa.gz.fai	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/595/GCA_009819595.1/provenance.json	a137ba45e5d0fbe02b44706063afc1af0014f93ee56e9cd409a770c5496922bf	1172344973	109	c423c9220699b8b369db64bc49a062e0fffa68994abf3cf7ecc623d3cb506a5f	c359760f7cb89eb979de75c410a5b46bba9f7aea30dfd12ed6fadf8ef931abaf	389144878	e22fe74b7ac113c633f5f9f4c3c7793137899cdf514fb45fd4871ff801a25163	287336	500a4d7481d85bf90ab7bf3bd8f5fc335695803bc2e42fdfabdc61704b0d4472	4077	0.33193717460500427	96.548138	242.50503	39227392	389438624	3	17960	2026-07-19T15:51:28.270873Z
8	ded73c3a75a75d0e700729f2b4c9ee8aacea423472c6f2cc2613e94b21240771	GCA_009819605.1	GCA/009/819/605/GCA_009819605.1/GCA_009819605.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/009/819/605/GCA_009819605.1/GCA_009819605.1.fa.gz	gzip	409119932	bd52e124f7a13ad09fbb9899638c183acc7030600c3d5038f5c0347dadc2ad8d	verified	objects/GCA/009/819/605/GCA_009819605.1/GCA_009819605.1.fa.gz	small	4	8192	4294967296	04:00:00	converted	STREAM_CONVERTED_VERIFIED	1	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/605/GCA_009819605.1/GCA_009819605.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/605/GCA_009819605.1/GCA_009819605.1.fa.gz.gzi	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/605/GCA_009819605.1/GCA_009819605.1.fa.gz.fai	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/605/GCA_009819605.1/provenance.json	925cba8963e88b9f7cecc6d3e0884ae6a8d3ff4ca4047ea7900043efdf70f9eb	1254573911	123	49addc9e733e167a13c0e324dde64c4bc9d8fd3eb1715e8a36ed8dbfd7215ecf	e83578f9c99a89c76aff26afe9432369f020799e3bfe258c85fe0c97ebdaf5cb	417462568	d72e538127f96ddd3e3b69e227a865847535b4054371f4615ecaaa77b2ca6552	307496	3d6d6d366447ce6c72b372d851c2979cbecb03b856f3339acd077f5e617d19e4	4637	0.3327524702528267	116.346438	258.936916	39141376	417777344	3	19220	2026-07-19T15:51:52.936567Z
9	30117427e7112d2c1f01ef14fef5d07da23ac8e4b66b288833e7be9edf514353	GCA_009819775.1	GCA/009/819/775/GCA_009819775.1/GCA_009819775.1.fa.gz	/moosefs/erikg/vgp/freeze1/objects/GCA/009/819/775/GCA_009819775.1/GCA_009819775.1.fa.gz	gzip	415837874	1500ff3e379def7cba1a3bd0e4bba71bed14d3438d5935d58255a2c930d73c73	verified	objects/GCA/009/819/775/GCA_009819775.1/GCA_009819775.1.fa.gz	small	4	8192	4294967296	04:00:00	converted	STREAM_CONVERTED_VERIFIED	1	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/775/GCA_009819775.1/GCA_009819775.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/775/GCA_009819775.1/GCA_009819775.1.fa.gz.gzi	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/775/GCA_009819775.1/GCA_009819775.1.fa.gz.fai	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/775/GCA_009819775.1/provenance.json	98ab79bce0206d6852a79a135304cd3e84fc636f925d1e1b68abc2ece502042a	1271152820	90	7ddfe95f585c3e2341ec430d40d1f53a2c0b2508e85ae25ad4476a7930750f2a	ec3b3e0259b2c7c99fe18f4f7ebeecc47ac06388d61e749e4bd82397179b1d82	424210231	10142b1153aa4f0c9597f56e54d9b4336a6bd7fbd6dbb90a2412aac17e49ab90	311560	aa6b09560573f9a36cd034a6cb4711df8ba417db19e8333ee7fa181b9d10ed63	3374	0.3337208747253536	110.947773	263.384791	39215104	424527111	3	19474	2026-07-19T15:51:52.874576Z
