row_kind	analysis_id	status	observable	observable_tier	scientific_name	dataset_id	assembly_accession_version	clade	order	family	genus	scope	model	predictor	predictor_value	n	eligible_n	missing_n	denominator	estimate	effect	ci_low	ci_high	p_value	q_value	analysis_family	uncertainty	measurement_precision	cross_species_identification	sensitivity	conclusion	limitation	annotation_status	annotation_provider	annotation_release	annotation_assembly_accession_version	reference_fasta_sha256	annotation_gff_sha256	annotation_contig_mapping_sha256	annotation_sequence_regions_sha256	annotation_genetic_code	annotation_native_vs_projected	annotation_contig_dictionary_validated	annotation_cds_reconstruction_audit	source_modality	decision_version
point	point.gc3.acyrthosiphon.pisum.tier3c	estimated	gc3	exact_assembly_native_annotation_composition	Acyrthosiphon pisum	acyrthosiphon.pisum.tier3c	GCF_005508785.2	Insecta	Hemiptera	Aphididae	Acyrthosiphon	species	pooled_canonical_CDS_third_positions	Buffalo pred_log10_N (census-size proxy, not N_e)	13.4189075989	1	1	0	7591522 callable CDS third positions	0.347182290982							Upstream table has no genomic block interval; no binomial pseudo-replication interval is invented.	Callable third-position count reported; bases are correlated and do not identify cross-species uncertainty.	not applicable to point row		Exact-assembly native-annotation GC3 point estimate.		native	NCBI RefSeq	2022/05/11 00:00	GCF_005508785.2	0f0b70d2e796f81ed4e91a970bbf16ff3ea656e74df6fc23b512c4d5874e2dac	5f6f553e50d7c2691925d70bf5aa75145c1c7ba2956c5988fef09ae0c7e7849a	b9cdc37c61fa7e5164f36405300846ab20a0b25a170663985bd0469cfc01765b	32130c14c1b116dde4cb07485623dafea2e5c629060872c5d787418e88377318	1	native	True	"{""all_retained_cds_phase_translation_passed"":true,""exclusions"":{""annotated_translation_exception"":1635,""gene_without_valid_cds"":1329,""invalid_candidate_transcript"":136},""provider_comparison"":""provider_sequences_not_deposited"",""retained_genes"":16344,""retained_transcripts"":16344,""sample_rule"":""first_100_by_sha256_dataset_id_plus_transcript_id_or_all_if_fewer"",""sampled_cds_count"":100,""sampled_cds_mismatches"":0}"	exact_single_assembly_composition	tier3-decisions-v1
point	point.whole_genome_gc.acyrthosiphon.pisum.tier3c	estimated	whole_genome_gc	exact_assembly_composition	Acyrthosiphon pisum	acyrthosiphon.pisum.tier3c	GCF_005508785.2	Insecta	Hemiptera	Aphididae	Acyrthosiphon	species	ACGT_fraction	Buffalo pred_log10_N (census-size proxy, not N_e)	13.4189075989	1	1	0	498064412 callable A/C/G/T FASTA bases	0.296916700806							No genomic block interval is available in the validated small table.	Callable FASTA-base count reported; not used as cross-species regression weight.	not applicable to point row		Whole-genome GC is available independently of annotation.	Weaker composition proxy; never substituted for GC3.	native	NCBI RefSeq	2022/05/11 00:00	GCF_005508785.2	0f0b70d2e796f81ed4e91a970bbf16ff3ea656e74df6fc23b512c4d5874e2dac	5f6f553e50d7c2691925d70bf5aa75145c1c7ba2956c5988fef09ae0c7e7849a	b9cdc37c61fa7e5164f36405300846ab20a0b25a170663985bd0469cfc01765b	32130c14c1b116dde4cb07485623dafea2e5c629060872c5d787418e88377318	1	native	True	"{""all_retained_cds_phase_translation_passed"":true,""exclusions"":{""annotated_translation_exception"":1635,""gene_without_valid_cds"":1329,""invalid_candidate_transcript"":136},""provider_comparison"":""provider_sequences_not_deposited"",""retained_genes"":16344,""retained_transcripts"":16344,""sample_rule"":""first_100_by_sha256_dataset_id_plus_transcript_id_or_all_if_fewer"",""sampled_cds_count"":100,""sampled_cds_mismatches"":0}"	exact_single_assembly_composition	tier3-decisions-v1
point	point.gc3.aedes.aegypti.tier3c	estimated	gc3	exact_assembly_native_annotation_composition	Aedes aegypti	aedes.aegypti.tier3c	GCF_002204515.2	Insecta	Diptera	Culicidae	Aedes	species	pooled_canonical_CDS_third_positions	Buffalo pred_log10_N (census-size proxy, not N_e)	14.3609996274	1	1	0	7702140 callable CDS third positions	0.563415102816							Upstream table has no genomic block interval; no binomial pseudo-replication interval is invented.	Callable third-position count reported; bases are correlated and do not identify cross-species uncertainty.	not applicable to point row		Exact-assembly native-annotation GC3 point estimate.		native	NCBI RefSeq	2017/06/27 00:00	GCF_002204515.2	9d652169b9d15f93cda7f6eb6714c090423c8ed640c4298deaa31d78b9b081d3	15b042e322ab9f0f03b0bb88e2bb905e62f19ed31c9674da592bfdc5d600150c	6cf8cc5709679fbbfc8fed30f52cfe66f8c3a60d65d1696c7d5a493911c9563c	4fa105fb1a6b095380f06e19c1110f05012094e743a78172aa750674d2c77a6c	1	native	True	"{""all_retained_cds_phase_translation_passed"":true,""exclusions"":{""annotated_translation_exception"":303,""gene_without_valid_cds"":318,""invalid_candidate_transcript"":20},""provider_comparison"":""provider_sequences_not_deposited"",""retained_genes"":14295,""retained_transcripts"":14295,""sample_rule"":""first_100_by_sha256_dataset_id_plus_transcript_id_or_all_if_fewer"",""sampled_cds_count"":100,""sampled_cds_mismatches"":0}"	exact_single_assembly_composition	tier3-decisions-v1
point	point.whole_genome_gc.aedes.aegypti.tier3c	estimated	whole_genome_gc	exact_assembly_composition	Aedes aegypti	aedes.aegypti.tier3c	GCF_002204515.2	Insecta	Diptera	Culicidae	Aedes	species	ACGT_fraction	Buffalo pred_log10_N (census-size proxy, not N_e)	14.3609996274	1	1	0	1278692379 callable A/C/G/T FASTA bases	0.38177302455							No genomic block interval is available in the validated small table.	Callable FASTA-base count reported; not used as cross-species regression weight.	not applicable to point row		Whole-genome GC is available independently of annotation.	Weaker composition proxy; never substituted for GC3.	native	NCBI RefSeq	2017/06/27 00:00	GCF_002204515.2	9d652169b9d15f93cda7f6eb6714c090423c8ed640c4298deaa31d78b9b081d3	15b042e322ab9f0f03b0bb88e2bb905e62f19ed31c9674da592bfdc5d600150c	6cf8cc5709679fbbfc8fed30f52cfe66f8c3a60d65d1696c7d5a493911c9563c	4fa105fb1a6b095380f06e19c1110f05012094e743a78172aa750674d2c77a6c	1	native	True	"{""all_retained_cds_phase_translation_passed"":true,""exclusions"":{""annotated_translation_exception"":303,""gene_without_valid_cds"":318,""invalid_candidate_transcript"":20},""provider_comparison"":""provider_sequences_not_deposited"",""retained_genes"":14295,""retained_transcripts"":14295,""sample_rule"":""first_100_by_sha256_dataset_id_plus_transcript_id_or_all_if_fewer"",""sampled_cds_count"":100,""sampled_cds_mismatches"":0}"	exact_single_assembly_composition	tier3-decisions-v1
point	point.gc3.agelaius.phoeniceus.tier3c	estimated	gc3	exact_assembly_native_annotation_composition	Agelaius phoeniceus	agelaius.phoeniceus.tier3c	GCF_051311805.1	Aves	Passeriformes	Icteridae	Agelaius	species	pooled_canonical_CDS_third_positions	Buffalo pred_log10_N (census-size proxy, not N_e)	9.24513356802	1	1	0	9787498 callable CDS third positions	0.618699692199							Upstream table has no genomic block interval; no binomial pseudo-replication interval is invented.	Callable third-position count reported; bases are correlated and do not identify cross-species uncertainty.	not applicable to point row		Exact-assembly native-annotation GC3 point estimate.		native	NCBI RefSeq	2025/07/14 00:00	GCF_051311805.1	221444d76648be6daf6507e1b83057809cd4b4797e9e30083889f959198ef2f1	057e1022f9d4af3bd7a1a316acf8e676d0565231b8c3811309ce13490febce07	a33d5ea504a356ec7d6821046ba67ce83e9b9ad9af2e433e51b79cbeead72c03	be806a6deb2b2602ee657c877cf49a5a5b67e946207ee038191e94f601a02feb	1	native	True	"{""all_retained_cds_phase_translation_passed"":true,""exclusions"":{""annotated_translation_exception"":656,""gene_without_valid_cds"":655,""invalid_candidate_transcript"":10},""provider_comparison"":""provider_sequences_not_deposited"",""retained_genes"":16449,""retained_transcripts"":16449,""sample_rule"":""first_100_by_sha256_dataset_id_plus_transcript_id_or_all_if_fewer"",""sampled_cds_count"":100,""sampled_cds_mismatches"":0}"	exact_single_assembly_composition	tier3-decisions-v1
point	point.whole_genome_gc.agelaius.phoeniceus.tier3c	estimated	whole_genome_gc	exact_assembly_composition	Agelaius phoeniceus	agelaius.phoeniceus.tier3c	GCF_051311805.1	Aves	Passeriformes	Icteridae	Agelaius	species	ACGT_fraction	Buffalo pred_log10_N (census-size proxy, not N_e)	9.24513356802	1	1	0	1238264458 callable A/C/G/T FASTA bases	0.435064928594							No genomic block interval is available in the validated small table.	Callable FASTA-base count reported; not used as cross-species regression weight.	not applicable to point row		Whole-genome GC is available independently of annotation.	Weaker composition proxy; never substituted for GC3.	native	NCBI RefSeq	2025/07/14 00:00	GCF_051311805.1	221444d76648be6daf6507e1b83057809cd4b4797e9e30083889f959198ef2f1	057e1022f9d4af3bd7a1a316acf8e676d0565231b8c3811309ce13490febce07	a33d5ea504a356ec7d6821046ba67ce83e9b9ad9af2e433e51b79cbeead72c03	be806a6deb2b2602ee657c877cf49a5a5b67e946207ee038191e94f601a02feb	1	native	True	"{""all_retained_cds_phase_translation_passed"":true,""exclusions"":{""annotated_translation_exception"":656,""gene_without_valid_cds"":655,""invalid_candidate_transcript"":10},""provider_comparison"":""provider_sequences_not_deposited"",""retained_genes"":16449,""retained_transcripts"":16449,""sample_rule"":""first_100_by_sha256_dataset_id_plus_transcript_id_or_all_if_fewer"",""sampled_cds_count"":100,""sampled_cds_mismatches"":0}"	exact_single_assembly_composition	tier3-decisions-v1
point	point.gc3.ailuropoda.melanoleuca.tier3c	estimated	gc3	exact_assembly_native_annotation_composition	Ailuropoda melanoleuca	ailuropoda.melanoleuca.tier3c	GCF_002007445.2	Mammalia	Carnivora	Ursidae	Ailuropoda	species	pooled_canonical_CDS_third_positions	Buffalo pred_log10_N (census-size proxy, not N_e)	6.23087591484	1	1	0	10136435 callable CDS third positions	0.601417756835							Upstream table has no genomic block interval; no binomial pseudo-replication interval is invented.	Callable third-position count reported; bases are correlated and do not identify cross-species uncertainty.	not applicable to point row		Exact-assembly native-annotation GC3 point estimate.		native	NCBI RefSeq	2022/04/13 00:00	GCF_002007445.2	524afde8a774628f095cd69712c724fb762e14c86aa70f200151af9d01861f2a	f70c7af27b604c1c50e1875650740d0aa59d50b8869e938c486a733ca318480e	db5cc9935218f7eb9d4981aee4fe92e63a4d7e433d0d1b1d4696bc40fe2ca80b	2dc93dfab36663ea8052100931e39253efee8a347c662900154a86b51ae96524	1	native	True	"{""all_retained_cds_phase_translation_passed"":true,""exclusions"":{""annotated_translation_exception"":1720,""gene_without_valid_cds"":2130,""invalid_candidate_transcript"":534},""provider_comparison"":""provider_sequences_not_deposited"",""retained_genes"":18854,""retained_transcripts"":18854,""sample_rule"":""first_100_by_sha256_dataset_id_plus_transcript_id_or_all_if_fewer"",""sampled_cds_count"":100,""sampled_cds_mismatches"":0}"	exact_single_assembly_composition	tier3-decisions-v1
point	point.whole_genome_gc.ailuropoda.melanoleuca.tier3c	estimated	whole_genome_gc	exact_assembly_composition	Ailuropoda melanoleuca	ailuropoda.melanoleuca.tier3c	GCF_002007445.2	Mammalia	Carnivora	Ursidae	Ailuropoda	species	ACGT_fraction	Buffalo pred_log10_N (census-size proxy, not N_e)	6.23087591484	1	1	0	2393426152 callable A/C/G/T FASTA bases	0.416823179678							No genomic block interval is available in the validated small table.	Callable FASTA-base count reported; not used as cross-species regression weight.	not applicable to point row		Whole-genome GC is available independently of annotation.	Weaker composition proxy; never substituted for GC3.	native	NCBI RefSeq	2022/04/13 00:00	GCF_002007445.2	524afde8a774628f095cd69712c724fb762e14c86aa70f200151af9d01861f2a	f70c7af27b604c1c50e1875650740d0aa59d50b8869e938c486a733ca318480e	db5cc9935218f7eb9d4981aee4fe92e63a4d7e433d0d1b1d4696bc40fe2ca80b	2dc93dfab36663ea8052100931e39253efee8a347c662900154a86b51ae96524	1	native	True	"{""all_retained_cds_phase_translation_passed"":true,""exclusions"":{""annotated_translation_exception"":1720,""gene_without_valid_cds"":2130,""invalid_candidate_transcript"":534},""provider_comparison"":""provider_sequences_not_deposited"",""retained_genes"":18854,""retained_transcripts"":18854,""sample_rule"":""first_100_by_sha256_dataset_id_plus_transcript_id_or_all_if_fewer"",""sampled_cds_count"":100,""sampled_cds_mismatches"":0}"	exact_single_assembly_composition	tier3-decisions-v1
point	point.gc3.amphimedon.queenslandica.tier3c	estimated	gc3	exact_assembly_native_annotation_composition	Amphimedon queenslandica	amphimedon.queenslandica.tier3c	GCF_000090795.2	Demospongiae	Haplosclerida	Niphatidae	Amphimedon	species	pooled_canonical_CDS_third_positions	Buffalo pred_log10_N (census-size proxy, not N_e)	6.007279159	1	1	0	9112190 callable CDS third positions	0.346840002239							Upstream table has no genomic block interval; no binomial pseudo-replication interval is invented.	Callable third-position count reported; bases are correlated and do not identify cross-species uncertainty.	not applicable to point row		Exact-assembly native-annotation GC3 point estimate.		native	NCBI RefSeq	2022/07/26 00:00	GCF_000090795.2	3ba1a0959b2a7062be910da03546ccd8043e220e05f0c874453930c5d174c339	cd2e9c865f6264b8287b5f9fc5f9d8779a7bedf4210399dbf8ef0f1c58cf4127	7d4ece08dfa3ebf5e9dfc7c6cefa46549dfcc4a5439fd71250a81b1b73bccf5e	30ed8e8a4e75c1a787e4bca93709acdb5528d60d528ddcca5a5985a9f7e9c11e	1	native	True	"{""all_retained_cds_phase_translation_passed"":true,""exclusions"":{""annotated_translation_exception"":174,""gene_without_valid_cds"":1090,""invalid_candidate_transcript"":939},""provider_comparison"":""provider_sequences_not_deposited"",""retained_genes"":19113,""retained_transcripts"":19113,""sample_rule"":""first_100_by_sha256_dataset_id_plus_transcript_id_or_all_if_fewer"",""sampled_cds_count"":100,""sampled_cds_mismatches"":0}"	exact_single_assembly_composition	tier3-decisions-v1
point	point.whole_genome_gc.amphimedon.queenslandica.tier3c	estimated	whole_genome_gc	exact_assembly_composition	Amphimedon queenslandica	amphimedon.queenslandica.tier3c	GCF_000090795.2	Demospongiae	Haplosclerida	Niphatidae	Amphimedon	species	ACGT_fraction	Buffalo pred_log10_N (census-size proxy, not N_e)	6.007279159	1	1	0	143116345 callable A/C/G/T FASTA bases	0.355458295137							No genomic block interval is available in the validated small table.	Callable FASTA-base count reported; not used as cross-species regression weight.	not applicable to point row		Whole-genome GC is available independently of annotation.	Weaker composition proxy; never substituted for GC3.	native	NCBI RefSeq	2022/07/26 00:00	GCF_000090795.2	3ba1a0959b2a7062be910da03546ccd8043e220e05f0c874453930c5d174c339	cd2e9c865f6264b8287b5f9fc5f9d8779a7bedf4210399dbf8ef0f1c58cf4127	7d4ece08dfa3ebf5e9dfc7c6cefa46549dfcc4a5439fd71250a81b1b73bccf5e	30ed8e8a4e75c1a787e4bca93709acdb5528d60d528ddcca5a5985a9f7e9c11e	1	native	True	"{""all_retained_cds_phase_translation_passed"":true,""exclusions"":{""annotated_translation_exception"":174,""gene_without_valid_cds"":1090,""invalid_candidate_transcript"":939},""provider_comparison"":""provider_sequences_not_deposited"",""retained_genes"":19113,""retained_transcripts"":19113,""sample_rule"":""first_100_by_sha256_dataset_id_plus_transcript_id_or_all_if_fewer"",""sampled_cds_count"":100,""sampled_cds_mismatches"":0}"	exact_single_assembly_composition	tier3-decisions-v1
